PROVIDER_ID,PROVIDER_NAME,STATE,NUMBER_OF_SUBSTANTIATED_COMPLAINTS,PATIENT_COUNT_ON_1970_08_23,COMPLAINTS_PER_100_PATIENTS
165440,WINSLOW HOUSE CARE CENTER,IA,10,47,21.28
056069,SANTA CLARA POST ACUTE,CA,37,174,21.26
065100,ROCK CANYON RESPIRATORY AND REHABILITATION CENTER,CO,27,127,21.26
395011,PLATINUM RIDGE CTR FOR REHAB & HEALING,PA,17,80,21.25
265105,DELMAR GARDENS WEST,MO,38,179,21.23
245275,EDENBROOK OF EDINA,MN,14,66,21.21
375334,SHADY REST CARE CENTER,OK,7,33,21.21
315467,LITTLE BROOK NURSING AND CONVALESCENT HOME,NJ,7,33,21.21
555040,LOTUS CARE CENTER,CA,7,33,21.21
065147,MOUNTAIN VIEW POST ACUTE,CO,28,132,21.21
235490,MEDILODGE OF MT PLEASANT,MI,14,66,21.21
175563,AZRIA HEALTH WICHITA,KS,14,66,21.21
045466,THE GREEN HOUSE COTTAGES OF POPLAR GROVE,AR,25,118,21.19
365936,LIBERTY RETIREMENT COMMUNITY OF LIMA INC,OH,11,52,21.15
235650,MEDILODGE OF MILFORD,MI,22,104,21.15
396143,ARISTACARE AT EAST FALLS,PA,11,52,21.15
505239,PARK ROSE CARE CENTER,WA,22,104,21.15
145895,STEPHENSON NURSING CENTER,IL,11,52,21.15
396144,ACCELERATE SKILLED NURSING AND REHABILITATION EXTO,PA,15,71,21.13
445427,AHC BETHESDA,TN,15,71,21.13
445377,SIGNATURE HEALTHCARE OF ERIN,TN,19,90,21.11
335386,THE GRAND REHABILITATION AND NURSING AT MOHAWK,NY,23,109,21.10
365773,THE LAURELS OF KETTERING,OH,16,76,21.05
455725,OAKMONT HEALTHCARE AND REHABILITATION CENTER OF HU,TX,12,57,21.05
055070,SEACREST POST-ACUTE CARE  CENTER,CA,12,57,21.05
366487,TALLMADGE HEALTH & REHAB CENTER,OH,16,76,21.05
525686,MUSKEGO HEALTH AND REHABILITATION CENTER,WI,8,38,21.05
265716,MONTICELLO HOUSE,MO,8,38,21.05
245285,GOOD SAMARITAN SOCIETY INVER GROVE HEIGHTS,MN,8,38,21.05
245201,THE ESTATES AT FRIDLEY LLC,MN,8,38,21.05
155473,ENVIVE OF BERNE,IN,8,38,21.05
165302,LINN HAVEN REHAB & HEALTHCARE,IA,8,38,21.05
435039,AVANTARA NORTON,SD,20,95,21.05
145923,WARREN BARR NORTH SHORE,IL,30,143,20.98
555470,WAGNER HEIGHTS NURSING & REHABILITATION CENTER,CA,30,143,20.98
235379,MEDILODGE OF TAWAS CITY,MI,13,62,20.97
145347,GILMAN HEALTHCARE CENTER,IL,13,62,20.97
365339,PARK TERRACE NURSING AND REHABILITATION CENTER,OH,18,86,20.93
505263,MOUNTAIN VIEW POST ACUTE,WA,9,43,20.93
555375,SUNSET VILLA POST ACUTE,CA,36,172,20.93
165420,TRADITIONS MEMORY CARE OF NEWTON,IA,9,43,20.93
235356,MEDILODGE AT THE SHORE,MI,23,110,20.91
495085,RIVER VIEW ON THE APPOMATTOX HEALTH & REHAB CENTER,VA,23,110,20.91
165033,HARMONY DAVENPORT,IA,14,67,20.90
555084,DESERT SPRINGS HEALTHCARE & WELLNESS CENTRE,CA,14,67,20.90
065001,LOWRY HILLS CARE AND REHABILITATION,CO,19,91,20.88
415035,LINCOLNWOOD REHABILITATION AND HEALTHCARE CENTER,RI,34,163,20.86
505322,SPOKANE HEALTH & REHABILITATION,WA,20,96,20.83
165192,GOOD SAMARITAN SOCIETY - ESTHERVILLE,IA,10,48,20.83
366113,LIBERTY HEALTH CARE CENTER INC,OH,20,96,20.83
055525,CRENSHAW NURSING HOME,CA,10,48,20.83
395701,ABINGTON MANOR,PA,21,101,20.79
555462,VILLA VALENCIA HEALTHCARE CENTER,CA,11,53,20.75
365756,WHITEHOUSE COUNTRY MANOR,OH,17,82,20.73
265427,OAK PARK CARE CENTER,MO,17,82,20.73
195636,THE GARDENS AND GUARDIAN,LA,6,29,20.69
065113,MEDALLION POST ACUTE REHABILITATION,CO,12,58,20.69
445539,CHRISTIAN CARE CENTER OF MEDINA,TN,12,58,20.69
355031,"MINOT HEALTH AND REHAB, LLC",ND,6,29,20.69
396035,SCOTTDALE HEALTHCARE & REHABILITATION CENTER,PA,6,29,20.69
395872,"GARDENS AT MILLVILLE, THE",PA,19,92,20.65
235313,LAURELS OF SANDY CREEK (THE),MI,13,63,20.63
505318,LIFE CARE CENTER OF SKAGIT VALLEY,WA,13,63,20.63
205143,CUMMINGS HEALTH CARE FACILITY,ME,7,34,20.59
195471,"JEFFERSON MANOR NURSING AND REHAB CTR, LLC",LA,21,102,20.59
675468,HICO NURSING AND REHABILITATION,TX,7,34,20.59
055753,LONGWOOD MANOR CONV.HOSPITAL,CA,37,180,20.56
145938,PARKSHORE ESTATES NURSING & REHAB,IL,47,229,20.52
056120,NORTH BAY POST ACUTE,CA,16,78,20.51
385258,EVERGREEN POST ACUTE,OR,8,39,20.51
555249,SEA CLIFF HEALTHCARE CENTER,CA,33,161,20.50
445267,GREEN HILLS CENTER FOR REHABILITATION AND HEALING,TN,25,122,20.49
235116,LAKE WOODS NURSING & REHABILITATION CENTER,MI,17,83,20.48
375483,EDMOND HEALTH CARE CENTER,OK,17,83,20.48
285095,MONUMENT REHABILITATION AND CARE CENTER,NE,17,83,20.48
325127,THE SUITES RIO VISTA,NM,18,88,20.45
145800,SUNSET HOME,IL,18,88,20.45
056065,SANTA CRUZ POST ACUTE,CA,27,132,20.45
045280,TWIN LAKES THERAPY AND LIVING,AR,9,44,20.45
056180,LAKE BALBOA CARE CENTER,CA,9,44,20.45
395231,HERMITAGE NURSING AND REHABILITATION,PA,18,88,20.45
105012,ASPIRE AT THE SEA - PASADENA,FL,9,44,20.45
395422,PENNKNOLL VILLAGE,PA,20,98,20.41
165599,CEDAR MANOR NURSING HOME,IA,10,49,20.41
395536,EDISON MANOR NURSING & REHABILITATION CENTER,PA,20,98,20.41
055858,RANCHO SECO CARE CENTER,CA,20,98,20.41
165220,AZRIA HEALTH PRAIRIE RIDGE,IA,10,49,20.41
555356,QUARTZ HILL POST ACUTE,CA,20,98,20.41
056407,ALL SAINTS HEALTHCARE SUBACUTE,CA,22,108,20.37
155390,BRICKYARD HEALTHCARE - WOODBRIDGE CARE CENTER,IN,11,54,20.37
285232,SUNRISE COUNTRY MANOR,NE,12,59,20.34
515039,MARTINSBURG HEALTHCARE CENTER,WV,24,118,20.34
366099,SPRINGFIELD NURSING & INDEPENDENT LIVING,OH,12,59,20.34
495240,FREDERICKSBURG HEALTH AND REHAB,VA,27,133,20.30
395347,OAK HILL CENTER FOR REHABILITATION AND NURSING,PA,27,133,20.30
265433,LINCOLN COUNTY NURSING & REHAB,MO,14,69,20.29
235350,MEDILODGE OF GAYLORD,MI,14,69,20.29
045259,THE BLOSSOMS AT WOODLAND HILLS REHAB & NURSING CEN,AR,14,69,20.29
395428,NORTHERN DAUPHIN NURSING AND REHABILITATION CENTER,PA,29,143,20.28
335592,MASSENA REHABILITATION & NURSING CENTER,NY,30,148,20.27
676045,BRENTWOOD TERRACE HEALTHCARE AND REHABILITATION,TX,15,74,20.27
195565,CORNERSTONE AT THE RANCH,LA,15,74,20.27
525209,MULDER HEALTH CARE FACILITY,WI,15,74,20.27
045431,THE SPRINGS OF PINNACLE MOUNTAIN,AR,15,74,20.27
525461,PAVILION AT GLACIER VALLEY,WI,15,74,20.27
235481,LAKE ORION NURSING CENTER,MI,16,79,20.25
155295,CLINTON HOUSE REHABILITATION AND HEALTHCARE CENTER,IN,16,79,20.25
365185,PARK CENTER HEALTHCARE AND REHABILITATION,OH,17,84,20.24
505319,ALDERWOOD POST ACUTE & REHABILITATION,WA,17,84,20.24
555065,VIEW PARK CONVALESCENT CENTER,CA,17,84,20.24
395421,GLEN BROOK REHABILITATION AND HEALTHCARE CENTER,PA,37,183,20.22
055960,LA CRESCENTA HEALTHCARE CENTER,CA,18,89,20.22
056137,THE MEADOWS POST ACUTE,CA,19,94,20.21
395396,WILLIAMSPORT SOUTH REHABILITATION AND NURSING CENT,PA,21,104,20.19
365687,ARBORS AT MARIETTA,OH,20,100,20.00
555074,PROVIDENCE HOLY CROSS MED CTR D/P SNF,CA,8,40,20.00
365885,CONCORD CARE AND REHABILITATION CENTER,OH,8,40,20.00
015060,RIDGEWAY REHABILITATION & SENIOR LIVING,AL,11,55,20.00
445492,RIPLEY HEALTHCARE AND REHAB CENTER,TN,9,45,20.00
505498,TOUCHMARK ON SOUTH HILL NURSING,WA,8,40,20.00
195323,HERITAGE MANOR HEALTH & REHAB,LA,11,55,20.00
365375,MEADOWBROOK CARE CENTER,OH,19,95,20.00
365961,PIKETON NURSING CENTER,OH,9,45,20.00
165592,SAVANNAH HEIGHTS,IA,6,30,20.00
385044,MENLO PARK POST ACUTE,OR,14,70,20.00
345482,BROOKDALE CARRIAGE CLUB PROVIDENCE,NC,1,5,20.00
395679,"GROVE AT WASHINGTON, THE",PA,13,65,20.00
285135,WAYNE COUNTRYVIEW CARE AND REHABILITATION,NE,7,35,20.00
155717,ALPHA HOME - A WATERS COMMUNITY,IN,10,50,20.00
365600,LOST CREEK  REHABILITATION AND NURSING CENTER,OH,7,35,20.00
355089,GOOD SAMARITAN SOCIETY - PARK RIVER,ND,7,35,20.00
676270,BRENTWOOD PLACE FOUR,TX,16,80,20.00
555589,WHITTIER HOSPITAL MEDICAL CTR D/P SNF,CA,4,20,20.00
26A443,HOPE CARE CENTER,MO,1,5,20.00
365862,THE PINES HEALTHCARE CENTER,OH,15,75,20.00
495344,KINGS DAUGHTERS COMMUNITY HEALTH & REHAB,VA,19,95,20.00
265578,NORMANDY NURSING CENTER,MO,19,95,20.00
505070,LIFE CARE CENTER OF RICHLAND,WA,12,60,20.00
145388,HELIA HEALTHCARE OF OLNEY,IL,12,60,20.00
525664,HAMILTON HEALTH SERVICES,WI,6,30,20.00
525623,NU ROC HEALTH AND REHABILITATION CTR,WI,7,35,20.00
165215,LYON SPECIALTY CARE,IA,7,35,20.00
675259,CISCO NURSING & REHABILITATION,TX,7,35,20.00
165297,NEW HAMPTON NURSING & REHAB CE,IA,6,30,20.00
365690,CEDARVIEW CARE CENTER,OH,14,70,20.00
505140,HIGHLAND HEALTH AND REHABILITATION OF CASCADIA,WA,8,40,20.00
056008,GUARDIAN REHABILITATION HOSPITAL,CA,17,85,20.00
505183,AVAMERE HERITAGE REHABILITATION OF TACOMA,WA,11,55,20.00
145337,RYZE ON THE AVENUE,IL,42,211,19.91
235516,RIVERGATE TERRACE,MI,42,211,19.91
155214,SAINT ANTHONY,IN,35,176,19.89
155426,SIGNATURE HEALTHCARE OF TERRE HAUTE,IN,31,156,19.87
145898,BRIA OF CHICAGO HEIGHTS,IL,19,96,19.79
365845,RAE ANN SUBURBAN,OH,18,91,19.78
115412,HARBORVIEW TIFTON,GA,17,86,19.77
165186,GOOD SAMARITAN SOCIETY - INDIANOLA,IA,17,86,19.77
365704,ADVANCED HEALTHCARE CENTER,OH,16,81,19.75
145372,"PEARL OF JOLIET, THE",IL,29,147,19.73
505275,"COLVILLE OF CASCADIA, LLC",WA,12,61,19.67
525660,ST DOMINIC VILLA,WI,12,61,19.67
056488,SUNNYSIDE NURSING CENTER,CA,46,234,19.66
245200,BIRCHWOOD HEALTH CARE CENTER,MN,11,56,19.64
455812,PARADIGM AT FIRST COLONY,TX,22,112,19.64
535031,WIND RIVER REHABILITATION AND WELLNESS,WY,11,56,19.64
345013,PEAK RESOURCES - CHARLOTTE,NC,21,107,19.63
105523,NORTH PORT REHABILITATION AND NURSING CENTER,FL,21,107,19.63
445270,TENNESSEE VETERANS HOME,TN,20,102,19.61
275124,PIONEER CARE AND REHABILITATION,MT,10,51,19.61
265188,SPRING VALLEY HEALTH & REHABILITATION CENTER,MO,29,148,19.59
515118,GLASGOW HILLS OF JOURNEY,WV,19,97,19.59
675321,PARADIGM AT FAITH MEMORIAL,TX,19,97,19.59
295095,SANDSTONE SPRING VALLEY,NV,29,148,19.59
235325,THE VILLA AT CITY CENTER,MI,27,138,19.57
675823,NORMANDY TERRACE NURSING & REHABILITATION CENTER,TX,18,92,19.57
395983,KEARSLEY REHABILITATION AND NURSING CENTER,PA,18,92,19.57
385145,ROBISON JEWISH HEALTH CENTER,OR,9,46,19.57
265471,BUFFALO PRAIRIE CENTER FOR REHAB AND HEALTHCARE,MO,9,46,19.57
495232,KEMPSVILLE HEALTH & REHAB CENTER,VA,17,87,19.54
385149,HIGHLAND HOUSE NURSING & REHABILITATION CENTER,OR,17,87,19.54
396132,QUALITY LIFE SERVICES - WESTMONT,PA,8,41,19.51
366462,CANAL WINCHESTER CARE CENTER,OH,16,82,19.51
676148,PEACH TREE PLACE,TX,8,41,19.51
675915,PARK PLACE CARE CENTER,TX,16,82,19.51
395462,BROOKMONT HEALTHCARE AND REHABILITATION CENTER,PA,23,118,19.49
455727,PARK VILLAGE HEALTHCARE AND REHABILITATION,TX,15,77,19.48
335280,TROY CENTER FOR REHABILITATION AND NURSING,NY,15,77,19.48
365030,CONCORD CARE CENTER OF TOLEDO,OH,15,77,19.48
345448,MAPLE GROVE HEALTH AND REHABILITATION CENTER,NC,21,108,19.44
385207,DALLAS RETIREMENT VILLAGE HEALTH CENTER,OR,21,108,19.44
395825,WATSONTOWN REHABILITATION AND NURSING CENTER,PA,21,108,19.44
345371,PRUITTHEALTH-TRENT,NC,21,108,19.44
285275,EMERALD NURSING & REHAB LANCASTER LLC,NE,40,206,19.42
365990,NEW DAWN REHABILITATION AND HEALTHCARE CENTER,OH,13,67,19.40
675792,MANSFIELD NURSING & REHABILITATION CENTER,TX,13,67,19.40
056127,LIVE OAK REHAB CENTER,CA,19,98,19.39
555673,ASBURY PARK NURSING & REHABILITATION CENTER,CA,25,129,19.38
056380,"LOS FELIZ HEALTHCARE & WELLNESS CENTER, LP",CA,24,124,19.35
676247,SANDY LAKE REHABILITATION AND CARE CENTER,TX,12,62,19.35
676059,PARK MANOR OF WESTCHASE,TX,18,93,19.35
675177,PINE TREE LODGE NURSING CENTER,TX,12,62,19.35
345344,CAMELLIA GARDENS CENTER FOR NURSING AND REHAB,NC,12,62,19.35
245236,BENEDICTINE HEALTH CENTER,MN,18,93,19.35
555921,RANCHO BELLAGIO POST ACUTE,CA,18,93,19.35
145964,MCLEANSBORO REHAB & HLTH C CTR,IL,6,31,19.35
555861,GRAND OAKS CARE,CA,17,88,19.32
505010,GARDEN VILLAGE,WA,17,88,19.32
445362,SIGNATURE HEALTHCARE OF FENTRESS COUNTY,TN,17,88,19.32
235144,BAYSIDE VILLAGE,MI,11,57,19.30
035270,SILVERWOOD POST ACUTE,AZ,16,83,19.28
145718,CRESTWOOD REHABILITATION CTR,IL,32,166,19.28
345329,GATEWAY REHABILITATION AND HEALTHCARE,NC,16,83,19.28
505230,FIR LANE CARE,WA,16,83,19.28
056322,MONTROSE SPRINGS SKILLED NURSING & WELLNESS CENTER,CA,21,109,19.27
146075,GRANITE NURSING & REHABILITATION,IL,15,78,19.23
265463,PARKVIEW HEALTHCARE,MO,20,104,19.23
396149,ADVANCED CARE CENTER OF BUTLER,PA,5,26,19.23
555739,THE SPRINGS AT PACIFIC REGENT,CA,10,52,19.23
265486,STONEBRIDGE MARYLAND HEIGHTS,MO,30,156,19.23
145582,ALDEN ESTATES OF NAPERVILLE,IL,29,151,19.21
115467,UNIVERSITY NURSING & REHAB CTR,GA,19,99,19.19
145571,CEDAR RIDGE HEALTH & REHAB CTR,IL,19,99,19.19
555219,AUBURN OAKS CARE CENTER,CA,19,99,19.19
235157,SANILAC MEDICAL CARE FACILITY,MI,14,73,19.18
235625,WEST WOODS OF BRIDGMAN,MI,14,73,19.18
535024,CASPER MOUNTAIN REHABILITATION AND CARE CENTER,WY,14,73,19.18
235298,"FATHER MURRAY, A VILLA CENTER",MI,41,214,19.16
366021,SHAKER GARDENS NURSING AND REHABILITATION CENTER,OH,9,47,19.15
495358,AMELIA REHABILITATION AND HEALTHCARE CENTER,VA,18,94,19.15
145198,BELLA TERRA MORTON GROVE,IL,27,141,19.15
395751,ROCHESTER RESIDENCE AND CARE CENTER,PA,18,94,19.15
215074,AUTUMN LAKE HEALTHCARE AT HOMEWOOD,MD,18,94,19.15
215339,ANCHORAGE HEALTHCARE  CENTER,MD,18,94,19.15
525520,DOVE HEALTHCARE - LODI,WI,9,47,19.15
676349,ACCEL AT WILLOW BEND,TX,13,68,19.12
375098,EMERALD CARE CENTER MIDWEST,OK,13,68,19.12
145712,"PAVILION ON MAIN STREET, THE",IL,17,89,19.10
055585,CAPISTRANO BEACH CARE CENTER,CA,17,89,19.10
285306,HEMINGFORD CARE CENTER,NE,4,21,19.05
265477,SPRINGFIELD SKILLED CARE CENTER,MO,20,105,19.05
056283,BIXBY KNOLLS TOWERS HEALTH CARE & REHAB CENTER,CA,20,105,19.05
165555,ADEL ACRES,IA,8,42,19.05
385053,AVAMERE REHABILITATION OF EUGENE,OR,12,63,19.05
165226,MANLY SPECIALTY CARE,IA,8,42,19.05
235723,HEALTHBRIDGE POST-ACUTE REHABILITATION,MI,12,63,19.05
055776,WESTVIEW HEALTHCARE CENTER,CA,31,163,19.02
385156,GREEN VALLEY REHABILITATION HEALTH CENTER,OR,19,100,19.00
245067,THE EMERALDS AT FARIBAULT LLC,MN,15,79,18.99
275025,KALISPELL REHABILITATION AND NURSING LLC,MT,15,79,18.99
385031,AVAMERE CRESTVIEW OF PORTLAND,OR,11,58,18.97
395746,CARLISLE SKILLED NURSING AND REHABILITATION CENTER,PA,25,132,18.94
365292,HANOVER HEALTHCARE CENTER,OH,21,111,18.92
365006,HILLSIDE PLAZA,OH,7,37,18.92
675212,THE HOMESTEAD OF DENISON,TX,14,74,18.92
165486,RUTHVEN COMMUNITY CARE CENTER,IA,7,37,18.92
555107,VICTORIA CARE CENTER,CA,7,37,18.92
195573,CAMELOT REHABILITATION AT MAGNOLIA PARK,LA,24,127,18.90
365482,ALTERCARE OF NAVARRE CTR FOR REHAB & NRSG CARE,OH,17,90,18.89
365969,ANCHOR LODGE NURSING HOME INC,OH,17,90,18.89
055330,ADVANCED REHAB CENTER OF TUSTIN,CA,17,90,18.89
555732,"SANTA FE HEIGHTS HEALTHCARE CENTER, LLC",CA,17,90,18.89
366418,LEGACY DUBLIN,OH,20,106,18.87
065110,RED CLIFFS POST ACUTE,CO,13,69,18.84
145837,PITTSFIELD MANOR,IL,13,69,18.84
145990,SYMPHONY MAPLE CREST,IL,13,69,18.84
676363,REMARKABLE HEALTHCARE OF PRESTONWOOD,TX,13,69,18.84
675398,FOCUSED CARE OF CENTER,TX,13,69,18.84
145980,"PEARL OF ST CHARLES, THE",IL,16,85,18.82
495283,ROSEDALE HEALTH & REHABILITATION,VA,22,117,18.80
325061,GOOD SAMARITAN SOCIETY BETTY DARE,NM,9,48,18.75
245254,REGINA SENIOR LIVING,MN,9,48,18.75
155570,MAJESTIC CARE OF MCCORDSVILLE,IN,6,32,18.75
675417,FAIR PARK HEALTH & REHABILITATION CENTER,TX,6,32,18.75
146011,ROBINGS MANOR RHC,IL,6,32,18.75
285139,"PREMIER ESTATES OF PIERCE, LLC",NE,6,32,18.75
375431,WILLOW PARK HEALTH CARE CENTER,OK,15,80,18.75
056477,EASTLAND SUBACUTE AND REHABILITATION CENTER,CA,23,123,18.70
555161,NAPA VALLEY CARE CENTER,CA,23,123,18.70
105269,GROVES CENTER,FL,20,107,18.69
056035,SHAFTER NURSING CARE,CA,17,91,18.68
555398,WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,CA,17,91,18.68
115679,COMFORT CREEK NURSING AND REHABILITATION CENTER,GA,14,75,18.67
265330,NORTH VILLAGE PARK,MO,33,177,18.64
365920,EMBASSY OF LEBANON,OH,11,59,18.64
675949,THE WATERTON AT COWHORN CREEK,TX,11,59,18.64
676376,SILVER SPRING,TX,11,59,18.64
285210,CROWELL MEMORIAL HOME,NE,11,59,18.64
245324,THE ESTATES AT BLOOMINGTON LLC,MN,11,59,18.64
515176,HAMPSHIRE CENTER,WV,11,59,18.64
455714,NORTHWEST HEALTH AND REHABILITATION CENTER,TX,19,102,18.63
235600,MEDILODGE OF MONTROSE INC,MI,19,102,18.63
675109,ARAPAHO REHABILITATION AND CARE CENTER,TX,19,102,18.63
195483,CENTER POINT HEALTH CARE AND REHAB,LA,27,145,18.62
385064,REGENCY CARE OF ROGUE VALLEY,OR,8,43,18.60
055202,ROSEMEAD HEALTHCARE CENTER,CA,16,86,18.60
365044,ARCAT CINCINNATI,OH,16,86,18.60
055899,ROYAL PALMS POST ACUTE,CA,24,129,18.60
235411,HAMPTON NURSING AND REHAB,MI,8,43,18.60
325132,LAS CRUCES WELLNESS & REHABILITATION LLC,NM,8,43,18.60
146062,CENTER HOME HISPANIC ELDERLY,IL,21,113,18.58
365363,PARKSIDE NURSING AND REHABILITATION  CENTER,OH,13,70,18.57
155636,HARRISON TERRACE,IN,13,70,18.57
505264,AVAMERE AT PACIFIC RIDGE,WA,13,70,18.57
395853,CRAWFORD CARE CENTER,PA,18,97,18.56
035232,MOUNTAIN VIEW CARE CENTER,AZ,18,97,18.56
145818,ROCK RIVER HEALTH CARE,IL,15,81,18.52
055331,"SAN RAFAEL HEALTHCARE & WELLNESS CENTER, LP",CA,10,54,18.52
195272,JEFFERSON HEALTHCARE CENTER,LA,32,173,18.50
505496,AVALON CARE CENTER AT NORTHPOINTE,WA,17,92,18.48
265702,TROY MANOR,MO,17,92,18.48
395393,CEDARWOOD REHABILITATION & HEALTHCARE CENTER,PA,17,92,18.48
295076,LIFE CARE CENTER OF SOUTH LAS VEGAS,NV,17,92,18.48
365720,ARBORS AT STOW,OH,24,130,18.46
505075,REGENCY AT THE PARK,WA,12,65,18.46
525273,BELOIT HEALTH AND REHABILITATION CENTER,WI,12,65,18.46
555115,MAJESTIC MOUNTAIN CARE CENTER,CA,12,65,18.46
395251,SHADYSIDE SKILLED NURSING AND REHABILITATION CTR,PA,24,130,18.46
525276,SSM HEALTH ST MARY'S CARE CENTER,WI,19,103,18.45
675052,BAY RIDGE HEALTHCARE CENTER,TX,7,38,18.42
375299,COLONIAL TERRACE CARE CENTER,OK,7,38,18.42
146195,IGNITE MEDICAL MCHENRY,IL,14,76,18.42
676431,CIMARRON PARK NURSING AND REHABILITATION CENTER,TX,23,125,18.40
235176,REGENCY AT FREMONT,MI,16,87,18.39
375540,MONTEVISTA REHABILITATION AND SKILLED CARE,OK,16,87,18.39
045450,THE BLOSSOMS AT MIDTOWN REHAB & NURSING CENTER,AR,18,98,18.37
315176,MEDFORD CARE CENTER,NJ,18,98,18.37
325064,SKIES HEALTHCARE & REHABILITATION CENTER,NM,20,109,18.35
055402,WINDSOR EL CAMINO CARE CENTER,CA,29,158,18.35
235238,EVANGELICAL HOME - SALINE,MI,20,109,18.35
056382,THE GROVE POST-ACUTE CARE CENTER,CA,11,60,18.33
676474,LE REVE REHABILITATION & MEMORY CARE,TX,11,60,18.33
455429,ROSE TRAIL NURSING AND REHABILITATION CENTER,TX,13,71,18.31
335004,AUBURN REHABILITATION & NURSING CENTER,NY,15,82,18.29
295083,"THE HEIGHTS OF SUMMERLIN, LLC",NV,30,164,18.29
345008,"THE CITADEL AT MYERS PARK, LLC",NC,15,82,18.29
505436,GIG HARBOR HEALTH AND REHABILITATION,WA,15,82,18.29
395556,SHENANDOAH SENIOR LIVING COMMUNITY,PA,17,93,18.28
115569,FULTON CENTER FOR REHABILITATION LLC,GA,17,93,18.28
055739,SALINAS VALLEY POST ACUTE,CA,17,93,18.28
395277,HARBORVIEW REHABILITATION CARE CENTER AT DOYLESTOW,PA,19,104,18.27
366111,FALLING WATER HEALTHCARE CENTER,OH,19,104,18.27
065241,HILLTOP PARK POST ACUTE,CO,23,126,18.25
145625,CALIFORNIA TERRACE,IL,45,247,18.22
366186,AVENTURA  AT HUMILITY HOUSE,OH,12,66,18.18
365470,OHIO LIVING LLANFAIR,OH,6,33,18.18
525421,LINDENGROVE MENOMONEE FALLS,WI,10,55,18.18
475014,BURLINGTON HEALTH & REHAB,VT,18,99,18.18
675132,BREMOND NURSING AND REHABILITATION CENTER,TX,4,22,18.18
345568,DAVIS HEALTH & WELLNESS CTR AT CAMBRIDGE VILLAG,NC,2,11,18.18
14E392,WEST CHICAGO TERRACE,IL,16,88,18.18
245293,HOPKINS HEALTH SERVICES,MN,8,44,18.18
555649,WEST COVINA MEDICAL CENTER D/P SNF,CA,4,22,18.18
175180,EXCEL HEALTHCARE AND REHAB OVERLAND PARK,KS,16,88,18.18
105407,SIESTA KEY HEALTH AND REHABILITATION CENTER,FL,14,77,18.18
335220,TUPPER LAKE CENTER FOR NURSING AND REHABILITATION,NY,10,55,18.18
505326,HEARTWOOD EXTENDED HEALTHCARE,WA,16,88,18.18
375449,LANE NURSING & VENTILATOR CARE,OK,6,33,18.18
375326,MEEKER NURSING CENTER,OK,8,44,18.18
155029,COMMUNITY NURSING AND REHABILITATION CENTER,IN,10,55,18.18
555071,SUNNYVIEW CARE CENTER,CA,16,88,18.18
525586,HERITAGE HEALTH SERVICES,WI,4,22,18.18
315157,MORRISTOWN POST ACUTE REHAB AND NURSING CENTER,NJ,35,193,18.13
395074,SPRING CREEK REHABILITATION AND NURSING CENTER,PA,65,359,18.11
235539,THE ORCHARDS AT NORTHWEST,MI,21,116,18.10
525069,MAPLEWOOD CENTER,WI,19,105,18.10
366094,CONTINUING HEALTHCARE OF GAHANNA,OH,15,83,18.07
235647,MEDILODGE OF OKEMOS,MI,15,83,18.07
145877,APERION CARE DOLTON,IL,15,83,18.07
056058,ALMADEN HEALTH AND REHABILITATION  CENTER,CA,13,72,18.06
056458,GREENFIELD CARE CENTER OF SOUTH GATE,CA,13,72,18.06
235244,CHRISTIAN PARK HEALTH CARE CENTER,MI,13,72,18.06
115293,RESORTS AT POOLER INC,GA,13,72,18.06
345558,NC STATE VETERANS HOME-BLACK MOUNTAIN,NC,13,72,18.06
065307,MANTEY HEIGHTS REHABILITATION & CARE CENTER,CO,11,61,18.03
145691,HALLMARK HEALTHCARE OF PEKIN,IL,11,61,18.03
555772,JOSHUA TREE POST ACUTE,CA,9,50,18.00
365844,AURORA MANOR SPECIAL CARE CENT,OH,9,50,18.00
14E306,NORTH AURORA CARE CENTER,IL,18,100,18.00
345502,LAKE PARK NURSING AND REHABILITATION CENTER,NC,18,100,18.00
365950,ARLINGTON COURT NURSING & REHABILITATION CENTER,OH,16,89,17.98
265402,RANCHO REHAB AND HEALTHCARE CENTER,MO,16,89,17.98
145443,ALLURE OF ZION,IL,16,89,17.98
505280,RENTON HEALTH & REHABILITATION,WA,14,78,17.95
245454,SANDSTONE HEALTH CARE CENTER,MN,7,39,17.95
175415,ELMHAVEN EAST,KS,7,39,17.95
365466,THE LAURELS OF HEATH,OH,21,117,17.95
555170,ARVIN POST ACUTE,CA,14,78,17.95
065431,"CENTER AT CENTERPLACE, LLC, THE",CO,7,39,17.95
065251,PAONIA CARE AND REHABILITATION CENTER,CO,7,39,17.95
675065,CASS VALLEY HEALTHCARE CENTER,TX,7,39,17.95
146108,MANOR COURT OF PEORIA,IL,7,39,17.95
555503,ROYAL OAKS MANOR-BRADBURY OAKS,CA,7,39,17.95
395493,JULIA RIBAUDO EXTENDED CARE CENTER,PA,14,78,17.95
235228,CHERRY HILL FOR NURSING AND REHABILITATION,MI,19,106,17.92
235270,SOUTH HAVEN NURSING AND REHABILITATION COMMUNITY,MI,12,67,17.91
195407,"RINGGOLD NURSING AND REHABILITATION CENTER, LLC",LA,17,95,17.89
155263,SYCAMORE CARE STRATEGIES,IN,5,28,17.86
