PROVIDER_NAME,STATE,MONTH,TOTAL_NURSE_HOURS,TOTAL_PATIENT_DAYS,NURSE_HOURS_TO_PATIENT_RATIO
OELWEIN HEALTH CARE CENTER,IA,1970-08,158.5,52,3.05
ASPIRE OF ESTHERVILLE,IA,1970-08,82,27,3.04
HARMONY WEST DES MOINES,IA,1970-08,289.25,95,3.04
BROOKLYN COMMUNITY ESTATES,IA,1970-08,141.31,47,3.01
WEST BEND HEALTH AND REHABILITATION,IA,1970-08,126.23,42,3.01
GOOD SAMARITAN SOCIETY - ESTHERVILLE,IA,1970-08,144.05,48,3
ENGLISH VALLEY NURSING CARE CENTER,IA,1970-08,104.64,35,2.99
NEW LONDON SPECIALTY CARE,IA,1970-08,118.62,40,2.97
LENOX CARE CENTER,IA,1970-08,62.47,21,2.97
GOOD SAMARITAN SOCIETY - INDIANOLA,IA,1970-08,255.2,86,2.97
RUTHVEN COMMUNITY CARE CENTER,IA,1970-08,110.04,37,2.97
MONTICELLO NURSING & REHAB CEN,IA,1970-08,121.24,41,2.96
BUCHANAN COUNTY HEALTH CENTER,IA,1970-08,109.11,37,2.95
SUNNY VIEW CARE CENTER,IA,1970-08,220.73,75,2.94
OAKVIEW NURSING AND REHABILITATION,IA,1970-08,149.75,51,2.94
AZRIA HEALTH ROSE VISTA,IA,1970-08,143.86,49,2.94
LYON SPECIALTY CARE,IA,1970-08,102.85,35,2.94
DUNLAP SPECIALTY CARE,IA,1970-08,82.08,28,2.93
IVY AT DAVENPORT,IA,1970-08,167.25,57,2.93
NORTHBROOK HEALTHCARE AND REHABILITATION CENTER,IA,1970-08,225.39,77,2.93
CLARENCE NURSING HOME,IA,1970-08,131.92,45,2.93
MERCYONE DYERSVILLE SENIOR CARE,IA,1970-08,101.82,35,2.91
PARK VIEW REHABILITATION CENTER,IA,1970-08,124.5,43,2.9
CRESTON SPECIALTY CARE,IA,1970-08,179.19,62,2.89
GOOD SAMARITAN SOCIETY - WAUKON,IA,1970-08,146.79,51,2.88
PREMIER ESTATES OF MUSCATINE,IA,1970-08,169.17,59,2.87
GOOD SAMARITAN SOCIETY - GEORGE,IA,1970-08,77.44,27,2.87
HILLCREST HEALTH CARE CENTER,IA,1970-08,117.73,41,2.87
ASPIRE OF MUSCATINE,IA,1970-08,102.75,36,2.85
NORA SPRINGS CARE CENTER,IA,1970-08,116.25,41,2.84
ELKADER CARE CENTER,IA,1970-08,79.5,28,2.84
MAPLE MANOR VILLAGE,IA,1970-08,82,29,2.83
EMMETSBURG CARE CENTER,IA,1970-08,101.5,36,2.82
PALO ALTO COUNTY HOSPITAL,IA,1970-08,62,22,2.82
"ACCURA HEALTHCARE OF AMES, LLC",IA,1970-08,179.3,64,2.8
CEDAR MANOR NURSING HOME,IA,1970-08,136.86,49,2.79
MOUNT AYR HEALTH CARE CENTER,IA,1970-08,103.25,37,2.79
GOOD SAMARITAN SOCIETY - SAINT ANSGAR,IA,1970-08,113.8,41,2.78
GOOD SAMARITAN SOCIETY - ALGONA,IA,1970-08,144.11,52,2.77
WINSLOW HOUSE CARE CENTER,IA,1970-08,129.5,47,2.76
COMMUNITY CARE CENTER,IA,1970-08,149.3,54,2.76
PRAIRIE VIEW HOME,IA,1970-08,112.33,41,2.74
WEST RIDGE SPECIALTY CARE,IA,1970-08,202.65,74,2.74
SHELL ROCK SENIOR LIVING,IA,1970-08,95.4,35,2.73
ATLANTIC SPECIALTY CARE,IA,1970-08,174.81,64,2.73
GOOD SAMARITAN SOCIETY - WEST UNION,IA,1970-08,114.5,42,2.73
EMBASSY REHAB AND CARE CENTER,IA,1970-08,106.43,39,2.73
CRESTVIEW SPECIALTY CARE,IA,1970-08,167.91,62,2.71
PARKVIEW CARE CENTER,IA,1970-08,137.81,51,2.7
ADEL ACRES,IA,1970-08,113.3,42,2.7
SANFORD SENIOR CARE SHELDON,IA,1970-08,137.26,51,2.69
KAREN ACRES CARE CENTER,IA,1970-08,80.56,30,2.69
CLEARVIEW HOME,IA,1970-08,180.01,67,2.69
LONE TREE HEALTH CARE CENTER INC,IA,1970-08,99.5,37,2.69
MAPLE CREST MANOR,IA,1970-08,117.88,44,2.68
RED OAK REHAB AND CARE CENTER,IA,1970-08,77.82,29,2.68
CLARION WELLNESS AND REHABILITATION CENTER,IA,1970-08,164.91,62,2.66
NORTHERN MAHASKA SPECIALTY CARE,IA,1970-08,210.4,79,2.66
SALEM LUTHERAN HOME,IA,1970-08,132.64,50,2.65
FONDA SPECIALTY CARE,IA,1970-08,97.67,37,2.64
ELDORA SPECIALTY CARE,IA,1970-08,108.4,41,2.64
AZRIA HEALTH CLARINDA,IA,1970-08,176.82,67,2.64
BETTENDORF HEALTH CARE CENTER,IA,1970-08,157.9,60,2.63
"ACCURA HEALTHCARE OF OGDEN, LLC",IA,1970-08,86.4,33,2.62
ARBOR COURT,IA,1970-08,153.2,59,2.6
GRANDVIEW HEALTH CARE CENTER,IA,1970-08,72.1,28,2.58
ASPIRE OF LAKE PARK,IA,1970-08,66.5,26,2.56
STATE CENTER SPECIALTY CARE,IA,1970-08,96.55,38,2.54
PILLAR OF CEDAR VALLEY,IA,1970-08,317.54,126,2.52
DUBUQUE SPECIALTY CARE,IA,1970-08,149.46,60,2.49
SOUTHEAST IOWA HEALTHCARE CENTER,IA,1970-08,115.67,47,2.46
SIBLEY SPECIALTY CARE,IA,1970-08,104.99,43,2.44
STRATFORD SPECIALTY CARE,IA,1970-08,87.83,36,2.44
IOWA CITY REHAB & HEALTH CARE,IA,1970-08,107.1,44,2.43
GOOD SAMARITAN SOCIETY - MANSON,IA,1970-08,82.41,34,2.42
CREST HAVEN CARE CENTRE,IA,1970-08,82.11,34,2.42
CORNING SPECIALTY CARE,IA,1970-08,69.18,29,2.39
BELLE PLAINE SPECIALTY CARE,IA,1970-08,98.07,41,2.39
CORRECTIONVILLE SPECIALTY CARE,IA,1970-08,77.92,33,2.36
PREMIER ESTATES OF TOLEDO,IA,1970-08,98.3,42,2.34
CRYSTAL HEIGHTS CARE CENTER,IA,1970-08,138.53,60,2.31
GRAND JI VANTE,IA,1970-08,73.55,32,2.3
KEOTA HEALTH CARE CENTER,IA,1970-08,54.75,24,2.28
WELLINGTON PLACE,IA,1970-08,91,40,2.28
OAKLAND MANOR,IA,1970-08,111.95,49,2.28
CHARITON SPECIALTY CARE,IA,1970-08,92.03,41,2.24
GOOD SAMARITAN SOCIETY - RED OAK,IA,1970-08,91.59,41,2.23
BETHANY HOME,IA,1970-08,144.03,66,2.18
GOOD SAMARITAN SOCIETY - VILLISCA,IA,1970-08,82.77,38,2.18
CEDAR FALLS HEALTH CARE CENTER,IA,1970-08,75.98,35,2.17
ASPIRE OF PLEASANT VALLEY,IA,1970-08,81.25,38,2.14
OAKWOOD SPECIALTY CARE,IA,1970-08,105.19,50,2.1
GRUNDY CARE CENTER,IA,1970-08,66.56,32,2.08
PERRY LUTHERAN HOMES EDEN ACRES CAMPUS,IA,1970-08,86.52,47,1.84
COUNTRYSIDE CARE & REHABILITATION,ID,1970-08,227.22,28,8.12
BINGHAM MEMORIAL SKILLED NURSING & REHABILITATION,ID,1970-08,176.25,22,8.01
POWER COUNTY SKILLED NURSING FACILITY,ID,1970-08,136.83,18,7.6
BOUNDARY COUNTY NURSING HOME,ID,1970-08,111.13,17,6.54
SUNTERRA SPRINGS RIVERVIEW,ID,1970-08,168.71,28,6.03
FRANKLIN COUNTY TRANSITIONAL CARE,ID,1970-08,167.47,28,5.98
IDAHO STATE VETERANS HOME - POST FALLS,ID,1970-08,277.47,52,5.34
ASPEN TRANSITIONAL REHABILITATION,ID,1970-08,158.51,30,5.28
BEAR LAKE MEMORIAL SKILLED NURSING FACILITY,ID,1970-08,124.25,25,4.97
"TERRACES OF BOISE, THE",ID,1970-08,223.17,46,4.85
ST LUKE'S ELMORE LONG TERM CARE,ID,1970-08,72.25,15,4.82
"COVE OF CASCADIA, THE",ID,1970-08,148.46,31,4.79
ARBOR VALLEY OF CASCADIA,ID,1970-08,497.75,108,4.61
SYRINGA CHALET NURSING FACILITY,ID,1970-08,162.66,36,4.52
ADVANCED HEALTH CARE OF COEUR D'ALENE LLC,ID,1970-08,152.66,34,4.49
SUNNY RIDGE,ID,1970-08,174.66,39,4.48
SHAW MOUNTAIN OF CASCADIA,ID,1970-08,398.66,89,4.48
VALLEY VISTA CARE CENTER OF ST MARIES,ID,1970-08,218.92,49,4.47
ONEIDA COUNTY HOSPITAL & LONG TERM CARE FACILITY,ID,1970-08,100.65,23,4.38
GRANGEVILLE HEALTH & REHAB CENTER OF CASCADIA,ID,1970-08,170,39,4.36
WELLSPRING HEALTH & REHABILITATION OF CASCADIA,ID,1970-08,375.07,86,4.36
QUINN MEADOWS REHABILITATION AND CARE CENTER,ID,1970-08,176.32,41,4.3
ASPEN PARK OF CASCADIA,ID,1970-08,189.38,44,4.3
PRESTIGE CARE & REHABILITATION - THE ORCHARDS,ID,1970-08,217.66,51,4.27
LIFE CARE CENTER OF IDAHO FALLS,ID,1970-08,286.17,68,4.21
MONTE VISTA HILLS HEALTHCARE CENTER,ID,1970-08,239.63,57,4.2
TEMPLE VIEW TRANSITIONAL CARE CENTER,ID,1970-08,251.68,60,4.19
BRIDGEVIEW ESTATES,ID,1970-08,209.1,50,4.18
IDAHO STATE VETERANS HOME - POCATELLO,ID,1970-08,202.2,49,4.13
ASHTON MEMORIAL  LIVING CENTER,ID,1970-08,124,30,4.13
MEADOW VIEW NURSING AND REHABILITATION,ID,1970-08,440.59,107,4.12
"ORCHARDS OF CASCADIA, THE",ID,1970-08,348.16,85,4.1
PAYETTE HEALTHCARE OF CASCADIA,ID,1970-08,171.9,42,4.09
COEUR D ALENE HEALTH OF CASCADIA,ID,1970-08,284.65,70,4.07
MADISON CARRIAGE COVE SHORT STAY REHABILITATION,ID,1970-08,114.08,28,4.07
OWYHEE HEALTH & REHABILITATION CENTER,ID,1970-08,211.22,52,4.06
GATEWAY TRANSITIONAL CARE CENTER,ID,1970-08,316.77,79,4.01
PARADISE CREEK HEALTH AND REHAB OF CASCADIA,ID,1970-08,155.67,39,3.99
CASCADES AT DESERT VIEW,ID,1970-08,154.75,39,3.97
EAGLE ROCK HEALTH AND REHABILITATION OF CASCADIA,ID,1970-08,185.44,47,3.95
IDAHO STATE VETERANS HOME - LEWISTON,ID,1970-08,193.3,49,3.94
IVY COURT,ID,1970-08,290.18,74,3.92
MOUNTAIN VALLEY OF CASCADIA,ID,1970-08,231.31,59,3.92
KARCHER POST ACUTE,ID,1970-08,202.62,52,3.9
SERENITY HEALTHCARE,ID,1970-08,221.99,57,3.89
LIFE CARE CENTER OF LEWISTON,ID,1970-08,253.07,65,3.89
BENNETT HILLS REHABILITATION AND CARE CENTER,ID,1970-08,200.19,52,3.85
MERIDIAN MEADOWS TRANSITIONAL CARE,ID,1970-08,169.2,44,3.85
VALLEY VISTA CARE CENTER OF SANDPOINT,ID,1970-08,226.13,59,3.83
PARKE VIEW REHABILITATION & CARE CENTER,ID,1970-08,286.29,75,3.82
RIVER'S EDGE REHABILITATION & LIVING CENTER,ID,1970-08,221.04,58,3.81
CASCADIA OF BOISE,ID,1970-08,327.87,88,3.73
CASCADIA OF NAMPA,ID,1970-08,354.1,95,3.73
LIFE CARE CENTER OF COEUR D'ALENE,ID,1970-08,320.98,87,3.69
TWIN FALLS TRANSITIONAL CARE OF CASCADIA,ID,1970-08,227.23,62,3.67
CLEARWATER HEALTH & REHABILITATION OF CASCADIA,ID,1970-08,137.86,38,3.63
MINI-CASSIA CARE CENTER,ID,1970-08,196,54,3.63
SKYLINE TRANSITIONAL CARE CENTER,ID,1970-08,248.76,69,3.61
LEWISTON TRANSITIONAL CARE OF CASCADIA,ID,1970-08,243.94,69,3.54
"CANYON WEST OF CASCADIA, LLC DBA CANYON WEST OF CA",ID,1970-08,272.65,77,3.54
LIFE CARE CENTER OF TREASURE VALLEY,ID,1970-08,299.44,85,3.52
CASCADIA OF LEWISTON,ID,1970-08,119.11,34,3.5
LINCOLN COUNTY CARE CENTER,ID,1970-08,90.5,26,3.48
LIFE CARE CENTER OF SANDPOINT,ID,1970-08,199.74,58,3.44
DISCOVERY REHABILITATION AND LIVING,ID,1970-08,98.11,29,3.38
VALLEY VIEW NURSING & REHABILITATION,ID,1970-08,208.88,62,3.37
CALDWELL CARE OF CASCADIA,ID,1970-08,192.02,58,3.31
SILVERTON HEALTH AND REHABILITATION OF CASCADIA,ID,1970-08,144.54,44,3.28
IDAHO STATE VETERANS HOME - BOISE,ID,1970-08,245.3,77,3.19
OAK CREEK REHABILITATION CENTER OF KIMBERLY,ID,1970-08,117.25,37,3.17
LIFE CARE CENTER OF POST FALLS,ID,1970-08,211.38,67,3.15
MCCALL REHABILITATION AND CARE CENTER,ID,1970-08,88.73,29,3.06
SILVER RIDGE CARE,ID,1970-08,209.66,69,3.04
TETON HEALTHCARE OF CASCADIA,ID,1970-08,186.62,62,3.01
CREEKSIDE TRANSITIONAL CARE AND REHABILITATION,ID,1970-08,346.89,116,2.99
LIFE CARE CENTER OF BOISE,ID,1970-08,175.53,60,2.93
ROYAL PLAZA HEALTH AND REHABILITATION OF CASCADIA,ID,1970-08,179.01,61,2.93
WEISER CARE OF CASCADIA,ID,1970-08,123.27,44,2.8
CHERRY RIDGE OF CASCADIA,ID,1970-08,94.12,35,2.69
CLINTON MANOR LIVING CENTER,IL,1970-08,201.5,22,9.16
BLESSING HOSPITAL SNU,IL,1970-08,102.25,12,8.52
EDEN VISTA BURR RIDGE,IL,1970-08,146.75,22,6.67
ELMHURST EXTENDED CARE CENTER,IL,1970-08,165.65,25,6.63
EDEN VISTA PROPECT HEIGHTS,IL,1970-08,104.49,16,6.53
"ADMIRAL AT THE LAKE, THE",IL,1970-08,198.77,31,6.41
PRAIRIEVIEW AT THE GARLANDS,IL,1970-08,99.75,16,6.23
MERCY CIRCLE,IL,1970-08,141,23,6.13
VICTORIAN VILLAGE HLTH & WELL,IL,1970-08,285,47,6.06
"SPRINGS AT MONARCH LANDING, THE",IL,1970-08,476.71,79,6.03
MERCY HARVARD HOSPITAL CARE CENTER,IL,1970-08,96.25,16,6.02
RENAISSANCE CARE CENTER,IL,1970-08,357.25,61,5.86
LAKE FOREST PLACE,IL,1970-08,282.35,49,5.76
SMITH CROSSING,IL,1970-08,430.72,75,5.74
RADFORD GREEN,IL,1970-08,458.4,80,5.73
SELFHELP HOME OF CHICAGO,IL,1970-08,284.25,50,5.69
WILLOWS HEALTH CENTER,IL,1970-08,140,25,5.6
GOTTLIEB MEMORIAL HOSPITAL,IL,1970-08,145.68,26,5.6
PRAIRIEVIEW LUTHERAN HOME,IL,1970-08,384.8,69,5.58
VI AT THE GLEN,IL,1970-08,220.51,40,5.51
LITTLE SISTERS OF THE POOR OF PALATINE,IL,1970-08,169.2,31,5.46
WESTMINSTER PLACE,IL,1970-08,362.19,67,5.41
MANOR COURT OF MARYVILLE,IL,1970-08,546.75,102,5.36
SCOTT COUNTY NURSING CENTER,IL,1970-08,160.69,30,5.36
ALPINE FIRESIDE HEALTH CENTER,IL,1970-08,180.65,34,5.31
LITTLE SISTERS OF THE POOR,IL,1970-08,231.65,44,5.26
"OAKS HEALTH CARE CENTER, THE",IL,1970-08,203.75,39,5.22
MANOR COURT OF PEORIA,IL,1970-08,203.25,39,5.21
AVONDALE ESTATES OF ELGIN,IL,1970-08,344.75,67,5.15
TABOR HILLS HEALTH CARE FAC,IL,1970-08,337.75,66,5.12
CONCORDIA VILLAGE CARE CENTER,IL,1970-08,249.92,49,5.1
HERITAGE SQUARE,IL,1970-08,91.75,18,5.1
VALLEY HI NURSING HOME,IL,1970-08,392,77,5.09
COMMUNITY FIRST MEDICAL CENTER,IL,1970-08,91.5,18,5.08
MEMORIAL CARE CENTER,IL,1970-08,258,51,5.06
POLO REHABILITATION & HCC,IL,1970-08,96.17,19,5.06
COVENANT LIVING - WINDSOR PARK,IL,1970-08,267.85,53,5.05
LINCOLNWOOD PLACE,IL,1970-08,150.65,30,5.02
SUNNY HILL NURSING HOME OF WILL COUNTY,IL,1970-08,753,150,5.02
WHITEHALL OF DEERFIELD,IL,1970-08,757.5,152,4.98
ST JOSEPH VILLAGE OF CHICAGO,IL,1970-08,242.03,49,4.94
WARREN BARR ORLAND PARK,IL,1970-08,851.25,173,4.92
ADDOLORATA VILLA,IL,1970-08,347.57,71,4.9
ALDEN ESTATES OF SHOREWOOD,IL,1970-08,387.25,80,4.84
HEARTHSTONE MANOR,IL,1970-08,174.19,36,4.84
ALTA REHAB AT OAK BROOK,IL,1970-08,516.28,107,4.83
PLYMOUTH PLACE,IL,1970-08,336.37,70,4.81
GREENFIELDS OF GENEVA,IL,1970-08,195.87,41,4.78
HEALTHBRIDGE OF ARLINGTON HTS,IL,1970-08,251.67,53,4.75
GIBSON COMMUNITY HSP ANNEX,IL,1970-08,52.2,11,4.75
"BRITISH HOME, THE",IL,1970-08,194.19,41,4.74
NORWOOD CROSSING,IL,1970-08,552.48,117,4.72
ASBURY GARDENS NSG & REHAB,IL,1970-08,270.05,58,4.66
FAYETTE COUNTY HOSPITAL,IL,1970-08,158.1,34,4.65
EVENGLOW LODGE,IL,1970-08,148.45,32,4.64
BRIDGE CARE SUITES,IL,1970-08,309.85,67,4.62
"ARTHUR HOME, THE",IL,1970-08,156.56,34,4.6
PARK PLACE CHRISTIAN COMMUNITY,IL,1970-08,161,35,4.6
MANOR COURT OF CLINTON,IL,1970-08,367.35,80,4.59
BURGESS SQUARE HEALTHCARE CTR,IL,1970-08,542.11,118,4.59
ALDEN ESTATES OF SKOKIE,IL,1970-08,114.75,25,4.59
MEDINA NURSING CENTER,IL,1970-08,196.78,43,4.58
CISNE REHABILITATION & HEALTH CENTER,IL,1970-08,91.64,20,4.58
HIGHLAND OAKS,IL,1970-08,77.9,17,4.58
AVANTARA LIBERTYVILLE,IL,1970-08,461.53,101,4.57
ILLINI RESTORATIVE CARE,IL,1970-08,296.14,65,4.56
GENERATIONS AT ROCK ISLAND,IL,1970-08,323.25,71,4.55
SUNSET HOME,IL,1970-08,399.25,88,4.54
MANOR COURT OF CARBONDALE,IL,1970-08,444.75,98,4.54
APERION CARE WESLEY,IL,1970-08,346.14,77,4.5
"VILLAGE AT VICTORY LAKES, THE",IL,1970-08,418.91,93,4.5
ABBINGTON VLGE NRSG & RHB CTR,IL,1970-08,117,26,4.5
OAK TRACE,IL,1970-08,451.47,101,4.47
"PEARL OF CRYSTAL LAKE, THE",IL,1970-08,339.04,76,4.46
FAIR OAKS HEALTH CARE CENTER,IL,1970-08,156.25,35,4.46
SNYDER VILLAGE,IL,1970-08,329.14,74,4.45
ALDEN COURTS OF SHOREWOOD,IL,1970-08,200.25,45,4.45
MOORINGS OF ARLINGTON HEIGHTS,IL,1970-08,301.07,68,4.43
APOSTOLIC CHRISTIAN SKYLINES,IL,1970-08,265.92,60,4.43
MANOR COURT OF FREEPORT,IL,1970-08,477.69,108,4.42
TERRACES AT THE CLARE,IL,1970-08,216.68,49,4.42
APOSTOLIC CHRISTIAN HOME OF EUREKA,IL,1970-08,371.45,84,4.42
GOOD SAMARITAN HOME,IL,1970-08,459.04,104,4.41
LEBANON CARE CENTER,IL,1970-08,222.12,51,4.36
MERCY REHAB AND CARE CENTER,IL,1970-08,343.5,79,4.35
ALLURE OF STERLING,IL,1970-08,347.9,80,4.35
LUTHERAN HOME FOR THE AGED,IL,1970-08,1015.53,234,4.34
GRAHAM HOSPITAL,IL,1970-08,99.72,23,4.34
VILLA HEALTH CARE EAST,IL,1970-08,375.75,87,4.32
HAMMOND-HENRY DISTRICT HSP,IL,1970-08,151,35,4.31
RIVER BLUFF NURSING HOME,IL,1970-08,598.6,139,4.31
FRIENDSHIP MANOR,IL,1970-08,353.29,82,4.31
FAIRHAVEN CHRISTIAN RET CENTER,IL,1970-08,318.41,74,4.3
WYNSCAPE HEALTH & REHAB,IL,1970-08,218.91,51,4.29
ALIYA OF OAK LAWN,IL,1970-08,609.39,142,4.29
MANOR COURT OF PERU,IL,1970-08,438,102,4.29
DUPAGE CARE CENTER,IL,1970-08,910.5,213,4.27
GALLATIN MANOR,IL,1970-08,157.75,37,4.26
"PEARL OF EVANSTON,THE",IL,1970-08,447.7,105,4.26
SMITH VILLAGE,IL,1970-08,297.19,70,4.25
ALLURE OF STOCKTON,IL,1970-08,106.3,25,4.25
FAIRFIELD MEMORIAL HOSPITAL,IL,1970-08,80.5,19,4.24
PIATT COUNTY NURSING HOME,IL,1970-08,351.93,83,4.24
PARKWAY MANOR,IL,1970-08,439.75,104,4.23
ALTA REHAB AT WAUCONDA,IL,1970-08,604.2,143,4.23
ST PAUL'S SENIOR COMMUNITY,IL,1970-08,414.25,98,4.23
WARREN BARR SOUTH LOOP,IL,1970-08,785.25,186,4.22
INTEGRITY HC OF MARION,IL,1970-08,404.25,96,4.21
ST PATRICK'S RESIDENCE,IL,1970-08,703.58,167,4.21
WHITE HALL NURSING & REHAB CENTER,IL,1970-08,445.59,106,4.2
SHARON HEALTH CARE ELMS,IL,1970-08,283.9,68,4.18
WESTMINSTER VILLAGE,IL,1970-08,175.25,42,4.17
SEMINARY MANOR,IL,1970-08,420.75,101,4.17
COMMUNITY CARE NURSING CENTER,IL,1970-08,219.6,53,4.14
MAR KA NURSING HOME,IL,1970-08,174,42,4.14
CENTRAL BAPTIST VILLAGE,IL,1970-08,417.09,101,4.13
BETHANY REHAB & HCC,IL,1970-08,285.24,69,4.13
BROOKDALE PLAZA LISLE SNF,IL,1970-08,177.5,43,4.13
ROCHELLE REHAB & HEALTH CARE CENTER,IL,1970-08,98.9,24,4.12
BRANDEL HEALTH AND REHAB,IL,1970-08,305.17,74,4.12
MONTGOMERY PLACE,IL,1970-08,111.27,27,4.12
LUTHER OAKS,IL,1970-08,74,18,4.11
HICKORY POINT CHRISTIAN VILLAGE,IL,1970-08,242.77,59,4.11
CENTRALIA MANOR,IL,1970-08,315,77,4.09
BURBANK REHABILITATION CENTER,IL,1970-08,413.5,101,4.09
"EAST BANK CENTER, LLC",IL,1970-08,143.09,35,4.09
PEKIN MANOR,IL,1970-08,383.5,94,4.08
ASBURY COURT NURSING & REHAB,IL,1970-08,269.25,66,4.08
FRANKLIN GROVE LIVING AND REHAB,IL,1970-08,302,74,4.08
HENRY REHAB AND NURSING,IL,1970-08,196,48,4.08
BRIA OF GENEVA,IL,1970-08,371.71,92,4.04
HIGHLAND HEALTH CARE CENTER,IL,1970-08,350.82,87,4.03
ENCORE VILLAGE,IL,1970-08,592.76,147,4.03
"ELMS, THE",IL,1970-08,261.98,65,4.03
THRIVE OF LISLE,IL,1970-08,278.36,69,4.03
"MATHER EVANSTON, THE",IL,1970-08,124.5,31,4.02
BELLA TERRA SCHAUMBURG,IL,1970-08,614.75,153,4.02
AVANTARA OF ELGIN,IL,1970-08,409.75,102,4.02
PAUL HOUSE & HEALTH CR CTR,IL,1970-08,368.52,92,4.01
SANDWICH REHAB & HCC,IL,1970-08,104.14,26,4.01
SWANSEA REHAB HEALTH CARE,IL,1970-08,151.81,38,4
WARREN BARR BUFFALO GROVE,IL,1970-08,574.17,144,3.99
ALDEN ESTATES OF ORLAND PARK,IL,1970-08,633.25,159,3.98
TRI-STATE VILLAGE NRSG & RHB,IL,1970-08,254,64,3.97
ALHAMBRA REHAB & HEALTHCARE,IL,1970-08,158.53,40,3.96
WEST SUBURBAN MEDICAL CTR,IL,1970-08,75.25,19,3.96
MILLER HEALTH CARE CENTER,IL,1970-08,384.4,97,3.96
CORNERSTONE REHAB & HC,IL,1970-08,169.69,43,3.95
AVANTARA PARK RIDGE,IL,1970-08,513.75,130,3.95
RESTHAVE HOME-WHITESIDE COUNTY,IL,1970-08,260.07,66,3.94
LENA LIVING CENTER,IL,1970-08,196.95,50,3.94
CITADEL CARE CENTER-WILMETTE,IL,1970-08,236,60,3.93
APOSTOLIC CHRISTIAN HOME,IL,1970-08,196.39,50,3.93
PALOS HEIGHTS REHABILITATION,IL,1970-08,436.7,111,3.93
ZAHAV OF BERWYN,IL,1970-08,493.46,126,3.92
ELEVATE CARE NILES,IL,1970-08,612.17,156,3.92
BRIA OF PALOS HILLS,IL,1970-08,567.28,145,3.91
THRIVE OF FOX VALLEY,IL,1970-08,245.92,63,3.9
GLENVIEW TERRACE,IL,1970-08,920,236,3.9
IRVING PARK LIVING & REHAB CTR,IL,1970-08,312.27,80,3.9
MERIDIAN VILLAGE CARE CENTER,IL,1970-08,230.02,59,3.9
AVANTARA EVERGREEN PARK,IL,1970-08,646.73,166,3.9
APOSTOLIC CHRISTIAN RESTMOR,IL,1970-08,210.12,54,3.89
ACCOLADE HEALTHCARE DANVILLE,IL,1970-08,369.9,95,3.89
FLANAGAN REHABILITATION & HCC,IL,1970-08,109,28,3.89
GOLDWATER CARE BLOOMINGTON,IL,1970-08,263.59,68,3.88
NEWMAN REHAB & HEALTH CARE CTR,IL,1970-08,147.07,38,3.87
STEARNS NURSING & REHAB CENTER,IL,1970-08,401.67,104,3.86
BENTON REHAB & HCC,IL,1970-08,126.87,33,3.84
MEADOWBROOK MANOR - LAGRANGE,IL,1970-08,642.98,168,3.83
GREEK AMERICAN REHAB CARE CTR,IL,1970-08,607.17,159,3.82
MARSHALL REHAB & NURSING,IL,1970-08,205.5,54,3.81
ALLURE OF ZION,IL,1970-08,338.7,89,3.81
CELEBRATE SENIOR LIVING NILES,IL,1970-08,198.3,52,3.81
WALKER NURSING HOME,IL,1970-08,99.01,26,3.81
ELEVATE CARE PALOS HEIGHTS,IL,1970-08,368.25,97,3.8
FRANCISCAN VILLAGE,IL,1970-08,376.5,99,3.8
ALDEN ESTATES OF EVANSTON,IL,1970-08,243.5,64,3.8
TWIN WILLOWS NURSING CENTER,IL,1970-08,110.25,29,3.8
GENERATIONS OAKTON PAVILLION,IL,1970-08,443.32,117,3.79
IGNITE MEDICAL MCHENRY,IL,1970-08,287.92,76,3.79
PITTSFIELD MANOR,IL,1970-08,261.52,69,3.79
HILLTOP SKILLED NSG & REHAB,IL,1970-08,204.36,54,3.78
ALDEN COURTS OF WATERFORD,IL,1970-08,204.25,54,3.78
MANOR COURT OF ROCHELLE,IL,1970-08,275.2,73,3.77
EASTSIDE HEALTH & REHAB CENTER,IL,1970-08,177.27,47,3.77
PRAIRIE MANOR NRSG & REHAB CTR,IL,1970-08,436.95,116,3.77
ALLURE OF PROPHETSTOWN,IL,1970-08,229.49,61,3.76
BELLA TERRA ELMHURST,IL,1970-08,387.5,103,3.76
CEDAR RIDGE HEALTH & REHAB CTR,IL,1970-08,371.61,99,3.75
ACCOLADE HEALTHCARE OF PEORIA,IL,1970-08,457.5,122,3.75
AMBERWOOD CARE CENTRE,IL,1970-08,468.25,125,3.75
BELLA TERRA LOMBARD,IL,1970-08,516.75,138,3.74
LUTHERAN HILLSIDE VILLAGE,IL,1970-08,280.66,75,3.74
ALDEN ESTATES OF BARRINGTON,IL,1970-08,418.5,112,3.74
BATAVIA REHABILITATION & HEALTH CARE CENTER,IL,1970-08,104.54,28,3.73
HENDERSON COUNTY RET CENTER,IL,1970-08,156.5,42,3.73
AVANTARA LINCOLN PARK,IL,1970-08,742.25,199,3.73
ELEVATE CARE RIVERWOODS,IL,1970-08,560,150,3.73
HELIA SOUTHBELT HEALTHCARE,IL,1970-08,399.37,107,3.73
LUTHERAN CARE CENTER,IL,1970-08,141.5,38,3.72
INTEGRITY HC OF HERRIN,IL,1970-08,118.75,32,3.71
WEALSHIRE CTR OF EXCELLENCE,IL,1970-08,311.25,84,3.71
HIGHLIGHT HEALTHCARE OF AURORA,IL,1970-08,177.25,48,3.69
FLORA REHAB & HEALTH CARE CTR,IL,1970-08,114.43,31,3.69
