PROVIDER_NAME,STATE,MONTH,TOTAL_HOURS_WORKED
LAKE PARK OF MADISON NURSING AND REHABILITATION CE,FL,1970-08,375
LAKE PLACID HEALTH AND REHABILITATION CENTER,FL,1970-08,510.51
LAKE PORT SQUARE HEALTH CENTER,FL,1970-08,256.05
LAKE WALES WELLNESS AND REHABILITATION CENTER,FL,1970-08,256
LAKE WORTH REHABILITATION CENTER,FL,1970-08,274.75
LAKELAND HILLS CENTER,FL,1970-08,336.5
LAKELAND NURSING & REHABILITATION,FL,1970-08,508.8
LAKES OF CLERMONT HEALTH AND REHABILITATION CENTER,FL,1970-08,277.5
LAKESIDE CENTER FOR REHABILITATION AND HEALING,FL,1970-08,380.25
LAKESIDE HEALTH CENTER,FL,1970-08,361.54
LAKEVIEW TERRACE REHAB AND HEALTH CARE CENTER,FL,1970-08,226.5
LANIER REHABILITATION CENTER,FL,1970-08,411.5
LARSEN HEALTH CENTER,FL,1970-08,761.57
LAURELLWOOD POST- ACUTE AND REHABILITATION CENTER,FL,1970-08,154.64
LEE MEMORIAL HOSPITAL SKILLED NURSING UNIT,FL,1970-08,112.75
LEGACY AT BOCA RATON REHABILITATION AND NURSING CE,FL,1970-08,675.94
LEGACY POINTE AT UCF,FL,1970-08,182.06
LEHIGH ACRES HEALTHCARE & REHAB CENTER,FL,1970-08,423.14
LEXINGTON HEALTHCARE AND REHABILITATION CENTER,FL,1970-08,558.87
LIFE CARE CENTER AT INVERRARY,FL,1970-08,403.5
LIFE CARE CENTER AT WELLS CROSSING,FL,1970-08,447.11
LIFE CARE CENTER OF ALTAMONTE SPRINGS,FL,1970-08,857.18
LIFE CARE CENTER OF CITRUS COUNTY,FL,1970-08,458.95
LIFE CARE CENTER OF ESTERO,FL,1970-08,532.48
LIFE CARE CENTER OF HILLIARD,FL,1970-08,443.44
LIFE CARE CENTER OF JACKSONVILLE,FL,1970-08,489.07
LIFE CARE CENTER OF MELBOURNE,FL,1970-08,431.4
LIFE CARE CENTER OF NEW PORT RICHEY,FL,1970-08,411.52
LIFE CARE CENTER OF OCALA,FL,1970-08,447.18
LIFE CARE CENTER OF ORANGE PARK,FL,1970-08,615.6
LIFE CARE CENTER OF PALM BAY,FL,1970-08,481.01
LIFE CARE CENTER OF PENSACOLA,FL,1970-08,438.66
LIFE CARE CENTER OF PORT SAINT LUCIE,FL,1970-08,364.28
LIFE CARE CENTER OF PUNTA GORDA,FL,1970-08,606.57
LIFE CARE CENTER OF SARASOTA,FL,1970-08,462.28
LIFE CARE CENTER OF WINTER HAVEN,FL,1970-08,654.81
"LILAC AT BAYVIEW, THE",FL,1970-08,385.52
"LODGE AT CYPRESS COVE, THE",FL,1970-08,308
LONGWOOD HEALTH AND REHABILITATION CENTER,FL,1970-08,432.8
LOTUS NURSING AND REHABILITATION CENTER,FL,1970-08,630.04
LOURDES-NOREEN MCKEEN RESIDENCE FOR GERIATRIC CARE,FL,1970-08,483
LUXE AT JUPITER REHABILITATION CENTER (THE),FL,1970-08,396.33
LUXE AT LUTZ REHABILITATION CENTER (THE),FL,1970-08,448.84
LUXE AT WELLINGTON REHABILITATION CENTER THE,FL,1970-08,445.69
MACCLENNY NURSING AND REHAB CENTER,FL,1970-08,382.5
MADISON HEALTH AND REHABILITATION CENTER,FL,1970-08,206.5
MADISON POINTE CARE CENTER,FL,1970-08,375.43
MAGNOLIA RIDGE HEALTH AND REHABILITATION CENTER,FL,1970-08,658
MAJESTIC OAKS,FL,1970-08,544.56
MANATEE SPRINGS REHABILITATION AND NURSING CENTER,FL,1970-08,468.32
"MANOR AT BLUE WATER BAY, THE",FL,1970-08,454.25
"MANOR AT CARPENTERS, THE",FL,1970-08,275.21
MARGATE HEALTH AND REHABILITATION CENTER,FL,1970-08,575.45
MARIANNA HEALTH AND REHABILITATION CENTER,FL,1970-08,568.75
MARIANNA NURSING AND CARE CENTER,FL,1970-08,422
MARION AND BERNARD L SAMSON NURSING CENTER,FL,1970-08,740.42
MARTIN COAST CENTER FOR REHABILITATION AND HEALTHC,FL,1970-08,456.25
MAYFLOWER HEALTHCARE CENTER,FL,1970-08,279
MEADOWPARK HEALTH AND REHABILITATION CENTER,FL,1970-08,373.34
"MEADOWS CENTER FOR NURSING AND HEALING, THE",FL,1970-08,356
MEDICANA NURSING AND REHAB CENTER,FL,1970-08,343
MELBOURNE TERRACE REHABILITATION CENTER,FL,1970-08,728.75
MEMORIAL MANOR,FL,1970-08,521
MENORAH HOUSE,FL,1970-08,407.36
METRO WEST NURSING AND REHAB CENTER,FL,1970-08,444
"MIAMI JEWISH HEALTH SYSTEMS, INC",FL,1970-08,1934.42
MIAMI SHORES NURSING AND REHAB CENTER,FL,1970-08,366
MIAMI SPRINGS NURSING AND REHABILITATION CENTER,FL,1970-08,783.25
MIDDLEBURG REHABILITATION AND NURSING CENTER,FL,1970-08,466
"MIRACLE HILL NURSING & REHABILITATION CENTER, INC",FL,1970-08,356.99
MOOSEHAVEN,FL,1970-08,144.59
MORTON PLANT REHABILITATION CENTER,FL,1970-08,551.5
MOULTRIE CREEK NURSING AND REHAB CENTER,FL,1970-08,413.25
NAPLES HEALTH AND REHABILITATION CENTER,FL,1970-08,344.68
NORTH BANK CENTER FOR REHABILITATION AND HEALING,FL,1970-08,356.5
NORTH BEACH HEALTHCARE AND REHABILITATION CENTER,FL,1970-08,354.17
NORTH CAMPUS REHABILITATION AND NURSING CENTER,FL,1970-08,321.56
NORTH DADE NURSING AND REHABILITATION CENTER,FL,1970-08,1633.34
NORTH HEALTHCARE AND REHABILITATION CENTER,FL,1970-08,155.71
NORTH LAKE CARE CENTER AND REHAB,FL,1970-08,310.24
NORTH PORT REHABILITATION AND NURSING CENTER,FL,1970-08,386.12
NORTHBROOK CENTER FOR REHABILITATION AND HEALING,FL,1970-08,417
NORTHDALE REHABILITATION CENTER,FL,1970-08,328.25
NORTHWEST FLORIDA COMMUNITY HOSPITAL (SNU),FL,1970-08,133.27
NSPIRE HEALTHCARE KENDALL,FL,1970-08,404.08
NSPIRE HEALTHCARE LAUDERHILL,FL,1970-08,356.97
NSPIRE HEALTHCARE MIAMI LAKES,FL,1970-08,305.08
NSPIRE HEALTHCARE PLANTATION,FL,1970-08,335.7
NSPIRE HEALTHCARE TAMARAC,FL,1970-08,420.3
NURSING & REHABILITATION CENTER OF BAYONET POINT,FL,1970-08,399.9
NURSING & REHABILITATION CENTER OF MELBOURNE,FL,1970-08,583.9
NURSING & REHABILITATION CENTER OF NEW PORT RICHEY,FL,1970-08,420.13
"NURSING CENTER AT LA POSADA, THE",FL,1970-08,215.54
OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC,FL,1970-08,401.3
OAK HAVEN REHAB AND NURSING CENTER,FL,1970-08,418.47
OAK HILL HEALTH & REHABILITATION,FL,1970-08,426.25
OAK MANOR HEALTHCARE & REHABILITATION CENTER,FL,1970-08,493.74
OAK VIEW HEALTH AND REHABILITATION CENTER,FL,1970-08,395.25
OAKPARK HEALTH AND REHABILITATION CENTER,FL,1970-08,507.53
OAKS AT AVON,FL,1970-08,317.5
"OAKS OF CLEARWATER, THE",FL,1970-08,173.75
OAKTON PLACE HEALTH AND REHABILITATION AT THE ARLI,FL,1970-08,210.89
OCALA HEALTH AND REHABILITATION CENTER,FL,1970-08,602.25
OCALA OAKS REHABILITATION CENTER,FL,1970-08,336.25
OKEECHOBEE HEALTH CARE FACILITY,FL,1970-08,813.63
OLIVE BRANCH HEALTH AND REHABILITATION CENTER,FL,1970-08,401.4
ORANGE CITY NURSING AND REHAB CENTER,FL,1970-08,391.25
ORANGE PARK REHABILITATION AND NURSING CENTER,FL,1970-08,343.6
ORLANDO HEALTH AND REHABILITATION CENTER,FL,1970-08,1129
ORLANDO HEALTH CENTER FOR REHABILITATION,FL,1970-08,191.15
ORMOND REHABILITATION AND NURSING CENTER,FL,1970-08,201.4
OSPREY POINT NURSING CENTER,FL,1970-08,173.35
PAGE REHABILITATION AND HEALTHCARE CENTER,FL,1970-08,707.15
PALACE AT KENDALL NURSING AND REHABILITATION CENTE,FL,1970-08,663
PALATKA CENTER FOR REHABILITATION AND HEALING,FL,1970-08,537.5
PALM BEACH NURSING CENTER,FL,1970-08,391.14
PALM CITY NURSING & REHAB CENTER,FL,1970-08,436
PALM GARDEN OF AVENTURA,FL,1970-08,434.44
PALM GARDEN OF CLEARWATER,FL,1970-08,565.59
PALM GARDEN OF GAINESVILLE,FL,1970-08,552.39
PALM GARDEN OF JACKSONVILLE,FL,1970-08,405.56
PALM GARDEN OF LARGO,FL,1970-08,539.02
PALM GARDEN OF OCALA,FL,1970-08,655.45
PALM GARDEN OF ORLANDO,FL,1970-08,459.02
PALM GARDEN OF PINELLAS,FL,1970-08,382.48
PALM GARDEN OF PORT SAINT LUCIE,FL,1970-08,384.27
PALM GARDEN OF SUN CITY,FL,1970-08,450.92
PALM GARDEN OF TAMPA,FL,1970-08,387.73
PALM GARDEN OF VERO BEACH,FL,1970-08,657.71
PALM GARDEN OF WEST PALM BEACH,FL,1970-08,547.92
PALM GARDEN OF WINTER HAVEN,FL,1970-08,420.01
PALM VISTA NURSING AND REHABILITATION CENTER,FL,1970-08,293
PALMETTO CARE CENTER AND REHAB,FL,1970-08,309.1
PALMETTO SUBACUTE CARE CENTER,FL,1970-08,371.75
PALMS AT SEBRING NURSING AND REHABILITATION THE,FL,1970-08,292.89
PALMS CARE CENTER AND REHAB,FL,1970-08,410.86
PARK MEADOWS HEALTHCARE & REHABILITATION CENTER,FL,1970-08,515.86
PARK RIDGE NURSING CENTER,FL,1970-08,441.17
PARKLANDS CARE CENTER AND REHAB,FL,1970-08,377.21
PARKSIDE HEALTH AND REHABILITATION CENTER,FL,1970-08,339.24
PARKVIEW REHABILITATION CENTER AT WINTER PARK,FL,1970-08,415.25
"PAVILION AT JACKSONVILLE, THE",FL,1970-08,190.25
"PAVILION FOR HEALTH CARE, THE",FL,1970-08,167.44
PEARL AT FORT LAUDERDALE REHABILITATION AND NURSIN,FL,1970-08,637.25
PENINSULA REHABILITATION AND NURSING CENTER,FL,1970-08,366.4
PENSACOLA NURSING & REHABILITATION CENTER,FL,1970-08,379.81
PINE TRAIL NURSING AND REHAB CENTER,FL,1970-08,194.7
PINECREST REHABILITATION CENTER,FL,1970-08,346.5
"PINELLAS PARK FL OPCO, LLC",FL,1970-08,396.02
PINELLAS POINT NURSING AND REHAB CENTER,FL,1970-08,186.75
PINES NURSING HOME,FL,1970-08,197.25
PINES OF SARASOTA,FL,1970-08,830.28
PLANTATION NURSING & REHABILITATION CENTER,FL,1970-08,521.2
PLAZA HEALTH AND REHAB,FL,1970-08,739.6
PLAZA WEST,FL,1970-08,516.92
PLYMOUTH HARBOR INCORPORATED,FL,1970-08,200.89
POMPANO HEALTH AND REHABILITATION CENTER,FL,1970-08,427.25
PONCE HEALTH AND REHABILITATION CENTER,FL,1970-08,543.15
"PONCE THERAPY CARE CENTER AND REHAB, THE",FL,1970-08,406.33
PORT CHARLOTTE REHABILITATION CENTER,FL,1970-08,651
PORT ORANGE NURSING AND REHAB CENTER,FL,1970-08,453.5
PORT ST LUCIE REHABILITATION AND HEALTHCARE,FL,1970-08,680.83
PREMIER PLACE AT THE GLENVIEW,FL,1970-08,201.44
PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,FL,1970-08,354.19
PROSPER HEALTH AND REHABILITATION CENTER,FL,1970-08,407.88
PRUITTHEALTH - FLEMING ISLAND,FL,1970-08,309.25
PRUITTHEALTH - PANAMA CITY,FL,1970-08,372.2
PRUITTHEALTH - SANTA ROSA,FL,1970-08,402.8
PRUITTHEALTH - SOUTHWOOD,FL,1970-08,269.75
"PRUITTHEALTH-NORTH TAMPA, LLC",FL,1970-08,218.25
RADIANT NURSING AND REHAB AT PALATKA,FL,1970-08,272.25
REGENCY OAKS HEALTH CENTER,FL,1970-08,246.84
REGENTS PARK AT AVENTURA,FL,1970-08,639.4
REGENTS PARK OF JACKSONVILLE,FL,1970-08,359.91
REGENTS PARK OF SUNRISE,FL,1970-08,361.03
REGENTS PARK OF WINTER PARK,FL,1970-08,378.51
REHAB & HEALTHCARE CENTER OF CAPE CORAL,FL,1970-08,377.75
REHABILITATION AND HEALTHCARE CENTER OF TAMPA,FL,1970-08,507.5
REHABILITATION CENTER AT PARK PLACE,FL,1970-08,400.18
"REHABILITATION CENTER OF THE PALM BEACHES,THE",FL,1970-08,365.75
RENAISSANCE AT THE TERRACES,FL,1970-08,194.5
RIDGECREST HEALTHCARE AND REHABILITATION CENTER,FL,1970-08,526.69
RIVER CITY NURSING AND REHAB CENTER,FL,1970-08,380.28
RIVER GARDEN HEBREW HOME FOR THE AGED,FL,1970-08,755.75
RIVER VALLEY REHABILITATION CENTER,FL,1970-08,418.75
RIVERCHASE HEALTH AND REHABILITATION CENTER,FL,1970-08,412.43
RIVERSIDE CARE CENTER,FL,1970-08,564
RIVERWOOD CENTER,FL,1970-08,685.03
RIVERWOOD HEALTHCARE & REHABILITATION CENTER,FL,1970-08,359.97
RIVIERA HEALTH RESORT,FL,1970-08,970
RIVIERA PALMS REHABILITATION CENTER,FL,1970-08,405.25
ROCKLEDGE HEALTHCARE & REHABILITATION CENTER,FL,1970-08,326.92
ROSEWOOD HEALTHCARE AND REHABILITATION CENTER,FL,1970-08,585.5
ROYAL CARE OF AVON PARK,FL,1970-08,269.82
ROYAL OAK NURSING CENTER,FL,1970-08,410
ROYAL OAKS NURSING AND REHAB CENTER,FL,1970-08,504.25
ROYAL PALM BEACH HEALTH AND REHABILITATION CENTER,FL,1970-08,401.54
RULEME CENTER,FL,1970-08,445.98
SABAL PALMS HEALTH & REHABILITATION,FL,1970-08,863.75
SANDGATE GARDENS REHAB AND NURSING CENTER,FL,1970-08,376.19
"SANDS AT SOUTH BEACH CARE CENTER, THE",FL,1970-08,647.61
SANDY RIDGE CENTER FOR REHABILITATION AND HEALING,FL,1970-08,182
SANTA ROSA CENTER FOR REHABILITATION AND HEALING,FL,1970-08,412.75
SARASOTA CENTER FOR NURSING & REHABILITATION,FL,1970-08,318.1
SARASOTA HEALTH AND REHABILITATION CENTER,FL,1970-08,380
SARASOTA MEMORIAL NURSING & REHABILITATION CENTER,FL,1970-08,457.75
SARASOTA POINT REHABILITATION CENTER,FL,1970-08,310
SAVANNAH COVE,FL,1970-08,142.7
SAVANNAS PARK HEALTH AND REHABILITATION CENTER,FL,1970-08,480.97
SAVOY AT FORT LAUDERDALE REHABILITATION AND NURSIN,FL,1970-08,361.5
SCOTT LAKE HEALTH AND REHABILITATION CENTER,FL,1970-08,415.75
SEA BREEZE REHAB AND NURSING CENTER,FL,1970-08,395.3
SEABRANCH HEALTH AND REHABILITATION CENTER,FL,1970-08,435.85
SEASIDE HEALTH AND REHABILITATION CENTER,FL,1970-08,231.2
SERENITY BAY NURSING AND REHABILITATION CENTER,FL,1970-08,473.32
SEVEN HILLS HEALTH & REHABILITATION CENTER,FL,1970-08,559
SHANDS JACKSONVILLE MEDICAL CENTER,FL,1970-08,229.67
SHORE ACRES CARE CENTER AND REHAB,FL,1970-08,337.01
SHORESIDE HEALTH AND REHABILITATION CENTER,FL,1970-08,468.76
SIERRA LAKES NURSING & REHABILITATION CENTER,FL,1970-08,607.25
SIESTA KEY HEALTH AND REHABILITATION CENTER,FL,1970-08,309.46
SILVERCREST HEALTH AND REHABILITATION CENTER,FL,1970-08,239.91
SKYTOP VIEW REHABILITATION CENTER,FL,1970-08,186.01
SOLARIS HEALTHCARE APOPKA,FL,1970-08,420.91
SOLARIS HEALTHCARE BAYONET POINT,FL,1970-08,678.75
SOLARIS HEALTHCARE CELEBRATION,FL,1970-08,526.1
SOLARIS HEALTHCARE CHARLOTTE HARBOR,FL,1970-08,659.08
SOLARIS HEALTHCARE COCONUT CREEK,FL,1970-08,457.5
SOLARIS HEALTHCARE COLLEGE PARK,FL,1970-08,414.72
SOLARIS HEALTHCARE DAYTONA,FL,1970-08,291.5
SOLARIS HEALTHCARE EAST ORLANDO,FL,1970-08,526.5
SOLARIS HEALTHCARE FOREST LAKE,FL,1970-08,768.41
SOLARIS HEALTHCARE IMPERIAL,FL,1970-08,366
SOLARIS HEALTHCARE LAKE CITY,FL,1970-08,424
SOLARIS HEALTHCARE LAKE ZEPHYR,FL,1970-08,420.25
SOLARIS HEALTHCARE MERRITT ISLAND,FL,1970-08,580.25
SOLARIS HEALTHCARE OSCEOLA,FL,1970-08,375.6
SOLARIS HEALTHCARE PARKWAY,FL,1970-08,624
SOLARIS HEALTHCARE PENSACOLA,FL,1970-08,637.75
SOLARIS HEALTHCARE PLANT CITY,FL,1970-08,663.25
SOLARIS HEALTHCARE WATERMAN,FL,1970-08,403.17
SOLARIS HEALTHCARE WINDERMERE,FL,1970-08,431
SOLARIS HEALTHCARE ZEPHYRHILLS,FL,1970-08,419.45
SOLARIS SENIOR LIVING NORTH NAPLES,FL,1970-08,225
SOUTH CAMPUS CARE CENTER AND REHAB,FL,1970-08,422.69
SOUTH DADE NURSING AND REHABILITATION CENTER,FL,1970-08,437
SOUTH HERITAGE HEALTH & REHABILITATION CENTER,FL,1970-08,179
SOUTH ORANGE HEALTH AND REHABILITATION CENTER,FL,1970-08,429.87
SOUTHERN PINES NURSING CENTER,FL,1970-08,322.66
SPECIALTY HEALTH AND REHABILITATION CENTER,FL,1970-08,537.75
SPRING LAKE REHABILITATION CENTER,FL,1970-08,417.25
SPRINGS AT BOCA CIEGA BAY,FL,1970-08,418.5
SPRINGS AT LAKE POINTE WOODS,FL,1970-08,438.5
SPRINGTREE REHABILITATION & HEALTH CARE CENTER,FL,1970-08,478.5
ST ANDREWS BAY SKILLED NURSING AND REHABILITATION,FL,1970-08,425.96
"ST ANNES NURSING CENTER, ST ANNES RESIDENCE INC",FL,1970-08,740.13
ST AUGUSTINE HEALTH AND REHABILITATION CENTER,FL,1970-08,433.74
ST JOHNS NURSING CENTER,FL,1970-08,646.24
ST MARK VILLAGE,FL,1970-08,285.28
ST PETERSBURG NURSING & REHABILITATION,FL,1970-08,276.27
ST. ANDREW POST-ACUTE REHABILITATION CENTER,FL,1970-08,160.15
STRATFORD COURT OF BOCA RATON,FL,1970-08,211.68
STUART REHABILITATION AND HEALTHCARE,FL,1970-08,397.33
SUN HARBOR HEALTHCARE,FL,1970-08,405.23
SUN TERRACE HEALTH CARE CENTER,FL,1970-08,515.25
SUNNYSIDE NURSING HOME,FL,1970-08,303
SUNRISE HEALTH & REHABILITATION CENTER,FL,1970-08,828.23
SUNRISE POINT HEALTH AND REHABILITATION CENTER,FL,1970-08,324.07
SUNSET LAKE HEALTHCARE AND REHABILITATION CENTER,FL,1970-08,417.26
SURREY PLACE HEALTHCARE AND REHABILITATION,FL,1970-08,272.25
SURREY PLACE NURSING CENTER,FL,1970-08,229.75
SUSANNA WESLEY HEALTH CENTER,FL,1970-08,490.96
SUWANNEE VALLEY NURSING CENTER,FL,1970-08,251.71
TALLAHASSEE MEMORIAL HOSPITAL EXTENDED CARE,FL,1970-08,429.9
TAMARAC REHABILITATION AND HEALTH CENTER,FL,1970-08,382.75
TAMPA LAKES HEALTH AND REHABILITATION CENTER,FL,1970-08,586.75
TARPON BAYOU CENTER,FL,1970-08,350.5
TAYLOR CARE CENTER,FL,1970-08,284.49
"TERRACE AT BISHOP'S GLEN, THE",FL,1970-08,207.09
TERRACE HEALTHCARE & REHABILITATION CENTER,FL,1970-08,405.16
"TERRACE OF HIALEAH, THE",FL,1970-08,815.75
"TERRACE OF JACKSONVILLE, THE",FL,1970-08,650.29
"TERRACE OF KISSIMMEE, THE",FL,1970-08,468.8
"TERRACE OF ST CLOUD, THE",FL,1970-08,464.36
TERRACES OF LAKE WORTH CARE CENTER AND REHAB,FL,1970-08,346.19
THE BRISTOL CARE CENTER,FL,1970-08,826.77
THE CEDAR AT MEASE LIFE,FL,1970-08,208
THE CLUB AT LAKE GIBSON,FL,1970-08,483.75
THE GARDENS AT DEPUGH,FL,1970-08,209.5
THE GOOD SAMARITAN SOCIETY-KISSIMMEE VILLAGE,FL,1970-08,412.91
THE LILAC AT SILVER PALMS,FL,1970-08,288.51
THE LODGE HEALTHCARE AND REHABILITATION CENTER,FL,1970-08,350.4
THE PAVILION AT CRESCENT LAKE,FL,1970-08,270.75
THE PRESERVE,FL,1970-08,306
THE TERRACE AT COURTENAY SPRINGS,FL,1970-08,303.43
THE TERRACE OF DELRAY BEACH NURSING AND REHABILITA,FL,1970-08,359.18
TIERRA PINES CENTER,FL,1970-08,428.74
TIFFANY HALL NURSING AND REHAB CENTER,FL,1970-08,402.75
TIMBERRIDGE NURSING & REHABILITATION CENTER,FL,1970-08,559.35
TITUSVILLE REHABILITATION & NURSING CENTER,FL,1970-08,339.5
TREASURE ISLE CARE CENTER,FL,1970-08,582.5
TRI-COUNTY NURSING HOME,FL,1970-08,287.66
TRINITY REGIONAL REHAB CENTER,FL,1970-08,445.8
TUSKAWILLA NURSING AND REHAB CENTER,FL,1970-08,322
UNITY HEALTHCARE AND REHABILITATION CENTER,FL,1970-08,1028.24
UNIVERSITY CROSSING,FL,1970-08,501
UNIVERSITY HEALTH AND REHABILITATION CENTER,FL,1970-08,509.35
VALENCIA HILLS HEALTH AND REHABILITATION CENTER,FL,1970-08,903.5
VENICE HEALTH AND REHABILITATION CENTER,FL,1970-08,356.72
VENTURA HEALTH AND REHABILITATION CENTER,FL,1970-08,355.67
VERO BEACH CARE CENTER,FL,1970-08,599.32
VI AT AVENTURA,FL,1970-08,166.08
VI AT LAKESIDE VILLAGE,FL,1970-08,264.75
VICAR'S LANDING NURSING HOME,FL,1970-08,144.75
VICTORIA CROSSING REHABILITATION CENTER,FL,1970-08,190.42
"VICTORIA NURSING & REHABILITATION CENTER, INC.",FL,1970-08,1376
VIERA DEL MAR HEALTH AND REHABILITATION CENTER,FL,1970-08,414.9
VIERA HEALTHCARE AND REHABILITATION CENTER,FL,1970-08,433.49
VILLA HEALTHCARE & REHABILITATION CENTER,FL,1970-08,358.02
VILLA MARIA NURSING CENTER,FL,1970-08,737.33
VILLA MARIA WEST SKILLED NURSING FACILITY,FL,1970-08,142.67
VILLAGE ON THE GREEN,FL,1970-08,209.13
VILLAGE ON THE ISLE,FL,1970-08,291.58
VILLAGE PLACE HEALTHCARE AND REHABILITATION CENTER,FL,1970-08,313.39
"VILLAGES HEALTHCARE AND REHABILITATION CENTER, THE",FL,1970-08,491.14
VISTA MANOR,FL,1970-08,380
VIVO HEALTHCARE FORT PIERCE,FL,1970-08,239.07
VIVO HEALTHCARE NORMANDY,FL,1970-08,386.5
VIVO HEALTHCARE ORANGE PARK,FL,1970-08,377.25
VIVO HEALTHCARE SEBRING,FL,1970-08,269.13
VIVO HEALTHCARE UNIVERSITY,FL,1970-08,344.25
VIVO HEALTHCARE WACHULA,FL,1970-08,236.05
VIVO HEALTHCARE WINTER HAVEN,FL,1970-08,362.69
W FRANK WELLS NURSING HOME,FL,1970-08,216.25
WASHINGTON REHABILITATION AND NURSING CENTER,FL,1970-08,520
WATERFORD NURSING AND REHABILITATION CENTER,FL,1970-08,747.29
"WATERFORD, THE",FL,1970-08,173.25
WATERS EDGE HEALTH AND REHABILITATION,FL,1970-08,168.44
WEST ALTAMONTE NURSING & REHABILITATION CENTER,FL,1970-08,410.3
WEST BROWARD REHABILITATION AND HEALTHCARE,FL,1970-08,364.96
WEST DELRAY NURSING & REHAB CENTER,FL,1970-08,339.8
WEST GABLES HEALTH CARE CENTER,FL,1970-08,266.5
WEST MELBOURNE HEALTH & REHABILITATION CENTER,FL,1970-08,647.19
WEST ORANGE CENTER FOR NURSING AND HEALING,FL,1970-08,362
WESTCHESTER GARDENS HEALTH & REHABILITATION,FL,1970-08,468.87
WESTGATE HEALTH AND REHABILITATION CENTER,FL,1970-08,395.99
WESTLAKE NURSING AND REHAB CENTER,FL,1970-08,300.1
WESTMINSTER BALDWIN PARK,FL,1970-08,101.25
WESTMINSTER OAKS,FL,1970-08,445.75
WESTMINSTER POINT PLEASANT,FL,1970-08,379.75
WESTMINSTER ST AUGUSTINE,FL,1970-08,117.06
WESTMINSTER SUNCOAST,FL,1970-08,384.3
WESTMINSTER TOWERS,FL,1970-08,405.5
WESTMINSTER WINTER PARK,FL,1970-08,338.92
WESTMINSTER WOODS ON JULINGTON CREEK,FL,1970-08,219.25
WESTSIDE OAKS REHABILITATION & NURSING CENTER,FL,1970-08,579.4
WESTWOOD NURSING AND REHABILITATION CENTER,FL,1970-08,205.25
WHISPERING OAKS,FL,1970-08,774
WILLISTON CARE CENTER AND REHAB,FL,1970-08,394.5
WILLOWBROOKE COURT AT AZALEA TRACE,FL,1970-08,71.12
WILLOWBROOKE COURT AT INDIAN RIVER ESTATES,FL,1970-08,61.98
WILLOWBROOKE COURT AT ST ANDREWS ESTATES,FL,1970-08,216.75
WILLOWBROOKE COURT SKILLED CARE CENTER - EDGEWATER,FL,1970-08,153.91
WILTON MANORS HEALTHCARE & REHABILITATION CENTER,FL,1970-08,510.16
WINDSOR HEALTH AND REHABILITATION CENTER,FL,1970-08,348.45
WINDSOR WOODS REHAB AND HEALTHCARE CENTER,FL,1970-08,331.5
WINKLER COURT,FL,1970-08,383.25
WINTER GARDEN REHABILITATION AND NURSING CENTER,FL,1970-08,391.03
WINTER HAVEN HEALTH AND REHABILITATION CENTER,FL,1970-08,466.5
WINTER PARK CARE AND REHABILITATION,FL,1970-08,318.8
WOODBRIDGE CARE CENTER AND REHAB,FL,1970-08,395.32
WOODLAND GROVE HEALTHCARE & REHABILITATION CENTER,FL,1970-08,377.84
WOODSIDE HEALTH AND REHABILITATION CENTER,FL,1970-08,373.33
WRIGHTS HEALTHCARE AND REHABILITATION CENTER,FL,1970-08,165.89
YBOR CITY CENTER FOR REHABILITATION AND HEALING,FL,1970-08,286.25
A.G. RHODES HOME WESLEY WOODS,GA,1970-08,570.63
"A.G. RHODES HOME, INC - COBB",GA,1970-08,441.74
"A.G. RHODES HOME, INC, THE",GA,1970-08,604.72
ABERCORN REHABILITATION CENTER,GA,1970-08,359.25
ALTAMAHA HEALTHCARE CENTER,GA,1970-08,131
ANDERSON MILL CENTER FOR NURSING AND HEALING LLC,GA,1970-08,424.75
ANSLEY PARK HEALTH AND REHABILITATION,GA,1970-08,199.99
APPLING NURSING AND REHABILITATION PAVILION,GA,1970-08,307.75
ARCHBOLD LIVING CAIRO,GA,1970-08,204.97
ARCHBOLD LIVING CAMILLA,GA,1970-08,522.25
ARCHBOLD LIVING THOMASVILLE,GA,1970-08,174.95
ARCHWAY TRANSITIONAL CARE CENTER,GA,1970-08,258.82
ARROWHEAD HEALTH AND REHAB,GA,1970-08,302.8
ATRIUM HEALTH NAVICENT BALDWIN,GA,1970-08,84.8
AUTUMN BREEZE HEALTH AND REHAB,GA,1970-08,218.22
AUTUMN LANE HEALTH AND REHABILITATION,GA,1970-08,299.67
AVALON HEALTH AND REHABILITATION,GA,1970-08,218.47
AZALEA HEALTH AND REHABILITATION,GA,1970-08,135.34
AZALEA HEALTH CENTER BY HARBORVIEW,GA,1970-08,325
AZALEALAND NURSING HOME,GA,1970-08,265.87
BAINBRIDGE HEALTH AND REHAB,GA,1970-08,171.05
"BAPTIST VILLAGE, INC.",GA,1970-08,709.5
BAYVIEW NURSING HOME,GA,1970-08,236.49
"BELL MINOR HOME, THE",GA,1970-08,328.1
BERRIEN OAKS NURSING AND REHAB CENTER,GA,1970-08,293.68
BOLINGREEN HEALTH AND REHABILITATION,GA,1970-08,278.59
BONTERRA TRANSITIONAL CARE & REHABILITATION,GA,1970-08,240
BOSTICK NURSING CENTER,GA,1970-08,578.27
BRIARWOOD HEALTH CENTER BY HARBORVIEW,GA,1970-08,269
