PROVIDER_NAME,STATE,MONTH,NURSE_HOURS_TO_PATIENT_RATIO,OCCUPANCY_RATE_PCT
FRANKLIN COUNTY TRANSITIONAL CARE,ID,1970-08,5.98,80.00
GATEWAY TRANSITIONAL CARE CENTER,ID,1970-08,4.01,89.77
GRANGEVILLE HEALTH & REHAB CENTER OF CASCADIA,ID,1970-08,4.36,65.00
IDAHO STATE VETERANS HOME - BOISE,ID,1970-08,3.19,63.11
IDAHO STATE VETERANS HOME - LEWISTON,ID,1970-08,3.94,74.24
IDAHO STATE VETERANS HOME - POCATELLO,ID,1970-08,4.13,74.24
IDAHO STATE VETERANS HOME - POST FALLS,ID,1970-08,5.34,81.25
IVY COURT,ID,1970-08,3.92,92.50
KARCHER POST ACUTE,ID,1970-08,3.9,78.79
LEWISTON TRANSITIONAL CARE OF CASCADIA,ID,1970-08,3.54,71.88
LIFE CARE CENTER OF BOISE,ID,1970-08,2.93,39.22
LIFE CARE CENTER OF COEUR D'ALENE,ID,1970-08,3.69,72.50
LIFE CARE CENTER OF IDAHO FALLS,ID,1970-08,4.21,62.39
LIFE CARE CENTER OF LEWISTON,ID,1970-08,3.89,53.72
LIFE CARE CENTER OF POST FALLS,ID,1970-08,3.15,55.83
LIFE CARE CENTER OF SANDPOINT,ID,1970-08,3.44,46.77
LIFE CARE CENTER OF TREASURE VALLEY,ID,1970-08,3.52,70.83
LINCOLN COUNTY CARE CENTER,ID,1970-08,3.48,72.22
MADISON CARRIAGE COVE SHORT STAY REHABILITATION,ID,1970-08,4.07,80.00
MCCALL REHABILITATION AND CARE CENTER,ID,1970-08,3.06,44.62
MEADOW VIEW NURSING AND REHABILITATION,ID,1970-08,4.12,95.54
MERIDIAN MEADOWS TRANSITIONAL CARE,ID,1970-08,3.85,84.62
MINI-CASSIA CARE CENTER,ID,1970-08,3.63,79.41
MONTE VISTA HILLS HEALTHCARE CENTER,ID,1970-08,4.2,50.44
MOUNTAIN VALLEY OF CASCADIA,ID,1970-08,3.92,86.76
OAK CREEK REHABILITATION CENTER OF KIMBERLY,ID,1970-08,3.17,64.91
ONEIDA COUNTY HOSPITAL & LONG TERM CARE FACILITY,ID,1970-08,4.38,69.70
"ORCHARDS OF CASCADIA, THE",ID,1970-08,4.1,85.00
OWYHEE HEALTH & REHABILITATION CENTER,ID,1970-08,4.06,89.66
PARADISE CREEK HEALTH AND REHAB OF CASCADIA,ID,1970-08,3.99,60.94
PARKE VIEW REHABILITATION & CARE CENTER,ID,1970-08,3.82,87.21
PAYETTE HEALTHCARE OF CASCADIA,ID,1970-08,4.09,52.50
POWER COUNTY SKILLED NURSING FACILITY,ID,1970-08,7.6,90.00
PRESTIGE CARE & REHABILITATION - THE ORCHARDS,ID,1970-08,4.27,40.16
QUINN MEADOWS REHABILITATION AND CARE CENTER,ID,1970-08,4.3,100.00
RIVER'S EDGE REHABILITATION & LIVING CENTER,ID,1970-08,3.81,78.38
ROYAL PLAZA HEALTH AND REHABILITATION OF CASCADIA,ID,1970-08,2.93,96.83
SERENITY HEALTHCARE,ID,1970-08,3.89,95.00
SHAW MOUNTAIN OF CASCADIA,ID,1970-08,4.48,90.82
SILVER RIDGE CARE,ID,1970-08,3.04,69.00
SILVERTON HEALTH AND REHABILITATION OF CASCADIA,ID,1970-08,3.28,88.00
SKYLINE TRANSITIONAL CARE CENTER,ID,1970-08,3.61,62.16
ST LUKE'S ELMORE LONG TERM CARE,ID,1970-08,4.82,39.47
SUNNY RIDGE,ID,1970-08,4.48,90.70
SUNTERRA SPRINGS RIVERVIEW,ID,1970-08,6.03,93.33
SYRINGA CHALET NURSING FACILITY,ID,1970-08,4.52,124.14
TEMPLE VIEW TRANSITIONAL CARE CENTER,ID,1970-08,4.19,50.42
"TERRACES OF BOISE, THE",ID,1970-08,4.85,95.83
TETON HEALTHCARE OF CASCADIA,ID,1970-08,3.01,70.45
TWIN FALLS TRANSITIONAL CARE OF CASCADIA,ID,1970-08,3.67,53.45
VALLEY VIEW NURSING & REHABILITATION,ID,1970-08,3.37,51.67
VALLEY VISTA CARE CENTER OF SANDPOINT,ID,1970-08,3.83,80.82
VALLEY VISTA CARE CENTER OF ST MARIES,ID,1970-08,4.47,66.22
WEISER CARE OF CASCADIA,ID,1970-08,2.8,57.89
WELLSPRING HEALTH & REHABILITATION OF CASCADIA,ID,1970-08,4.36,71.67
ABBINGTON VLGE NRSG & RHB CTR,IL,1970-08,4.5,31.71
ACCOLADE HC OF EAST PEORIA,IL,1970-08,3.06,81.69
ACCOLADE HC OF PAXTON ON PELLS,IL,1970-08,3.6,87.74
ACCOLADE HEALTHCARE DANVILLE,IL,1970-08,3.89,87.96
ACCOLADE HEALTHCARE OF PEORIA,IL,1970-08,3.75,88.41
ACCOLADE HEALTHCARE OF PONTIAC,IL,1970-08,3.33,81.44
ACCOLADE HEALTHCARE OF SAVOY,IL,1970-08,2.66,80.75
ACCOLADE PAXTON SENIOR LIVING,IL,1970-08,2.99,81.33
ADDOLORATA VILLA,IL,1970-08,4.9,78.89
"ADMIRAL AT THE LAKE, THE",IL,1970-08,6.41,86.11
AHVA CARE OF STICKNEY,IL,1970-08,3.45,88.24
AHVA CARE OF WINFIELD,IL,1970-08,2.95,91.30
ALDEN COURTS OF SHOREWOOD,IL,1970-08,4.45,90.00
ALDEN COURTS OF WATERFORD,IL,1970-08,3.78,90.00
ALDEN DEBES REHAB & HCC,IL,1970-08,3.36,70.90
ALDEN DES PLAINES REHAB & HC,IL,1970-08,3.67,77.27
ALDEN ESTATES CTS OF HUNTLEY,IL,1970-08,3.42,87.65
ALDEN ESTATES OF BARRINGTON,IL,1970-08,3.74,74.67
ALDEN ESTATES OF EVANSTON,IL,1970-08,3.8,64.65
ALDEN ESTATES OF NAPERVILLE,IL,1970-08,3.64,74.38
ALDEN ESTATES OF NORTHMOOR,IL,1970-08,3.58,87.37
ALDEN ESTATES OF ORLAND PARK,IL,1970-08,3.98,79.50
ALDEN ESTATES OF SHOREWOOD,IL,1970-08,4.84,80.00
ALDEN ESTATES OF SKOKIE,IL,1970-08,4.59,44.64
ALDEN LAKELAND REHAB & HCC,IL,1970-08,2.81,53.00
ALDEN LINCOLN REHAB & H C CTR,IL,1970-08,3.14,88.54
ALDEN LONG GROVE REHAB &HC CTR,IL,1970-08,2.75,63.82
ALDEN NORTH SHORE REHAB & HCC,IL,1970-08,3.42,68.82
ALDEN OF WATERFORD,IL,1970-08,2.92,79.80
ALDEN PARK STRATHMOOR,IL,1970-08,2.86,85.19
ALDEN POPLAR CREEK REHAB & HCC,IL,1970-08,3.03,63.59
ALDEN TERRACE OF MCHENRY REHAB,IL,1970-08,2.77,44.30
ALDEN TOWN MANOR REHAB & HCC,IL,1970-08,3.06,76.31
ALDEN VALLEY RIDGE REHAB & HCC,IL,1970-08,2.06,81.64
ALEDO REHAB & HEALTH CARE CENTER,IL,1970-08,2.42,56.25
ALHAMBRA REHAB & HEALTHCARE,IL,1970-08,3.96,70.18
ALIYA OF EVANSTON,IL,1970-08,3.08,94.74
ALIYA OF HIGHWOOD,IL,1970-08,3.15,86.54
ALIYA OF HOMEWOOD,IL,1970-08,3.67,84.09
ALIYA OF OAK LAWN,IL,1970-08,4.29,74.35
ALIYA OF PALOS PARK,IL,1970-08,3.55,81.40
ALIYA ON 87TH,IL,1970-08,3.42,92.86
ALL AMERICAN VLGE NRSG & RHB,IL,1970-08,2.5,92.36
ALLURE OF GALESBURG,IL,1970-08,2.17,84.26
ALLURE OF GENESEO,IL,1970-08,3.12,87.50
ALLURE OF KNOX COUNTY,IL,1970-08,2.85,60.71
ALLURE OF LAKE STOREY,IL,1970-08,3.47,31.11
ALLURE OF MENDOTA,IL,1970-08,3.24,84.71
ALLURE OF MOLINE,IL,1970-08,3.14,78.33
ALLURE OF MT CARROLL,IL,1970-08,3.49,76.39
ALLURE OF PERU,IL,1970-08,3.28,62.99
ALLURE OF PINECREST,IL,1970-08,3.3,77.60
ALLURE OF PROPHETSTOWN,IL,1970-08,3.76,87.14
ALLURE OF STERLING,IL,1970-08,4.35,61.54
ALLURE OF STOCKTON,IL,1970-08,4.25,51.02
ALLURE OF THE QUAD CITIES,IL,1970-08,3.59,61.75
ALLURE OF WALNUT,IL,1970-08,3.02,62.90
ALLURE OF ZION,IL,1970-08,3.81,77.39
ALPINE FIRESIDE HEALTH CENTER,IL,1970-08,5.31,51.52
ALTA REHAB AT FAIRMONT,IL,1970-08,3.51,84.41
ALTA REHAB AT OAK BROOK,IL,1970-08,4.83,68.59
ALTA REHAB AT WAUCONDA,IL,1970-08,4.23,95.97
ALTON MEMORIAL REHAB & THERAPY,IL,1970-08,3.01,81.25
AMBASSADOR NURSING & REHAB CENTER,IL,1970-08,2.76,73.68
AMBERWOOD CARE CENTRE,IL,1970-08,3.75,92.59
APERION CARE BRIDGEPORT,IL,1970-08,3.07,65.66
APERION CARE BURBANK,IL,1970-08,2.9,92.86
APERION CARE CAPITOL,IL,1970-08,2.32,43.43
APERION CARE CHICAGO HEIGHTS,IL,1970-08,2.29,69.50
APERION CARE DEKALB,IL,1970-08,2.88,64.71
APERION CARE DOLTON,IL,1970-08,2.83,94.32
APERION CARE ELGIN,IL,1970-08,1.94,85.15
APERION CARE FAIRFIELD,IL,1970-08,2.9,58.65
APERION CARE FOREST PARK,IL,1970-08,2.49,87.50
APERION CARE FOX RIVER,IL,1970-08,3.67,79.79
APERION CARE GLENWOOD,IL,1970-08,3.05,64.67
APERION CARE HILLSIDE,IL,1970-08,2.95,72.60
APERION CARE INTERNATIONAL,IL,1970-08,2.11,92.20
APERION CARE LAKESHORE,IL,1970-08,2.7,72.52
APERION CARE MARSEILLES,IL,1970-08,2.7,69.90
APERION CARE MIDLOTHIAN,IL,1970-08,1.81,89.01
APERION CARE MORTON VILLA,IL,1970-08,3.07,65.09
APERION CARE NILES,IL,1970-08,2.48,88.89
APERION CARE OAK LAWN,IL,1970-08,3.46,97.01
APERION CARE PEORIA HEIGHTS,IL,1970-08,2.89,78.18
APERION CARE PLUM GROVE,IL,1970-08,3.18,88.41
APERION CARE PRINCETON,IL,1970-08,2.76,75.00
APERION CARE ST ELMO,IL,1970-08,2.88,75.00
APERION CARE WESLEY,IL,1970-08,4.5,71.30
APERION CARE WEST CHICAGO,IL,1970-08,1.84,98.59
APERION CARE WESTCHESTER,IL,1970-08,2.81,83.33
APERION CARE WILMINGTON,IL,1970-08,1.32,97.08
APOSTOLIC CHRISTIAN HOME,IL,1970-08,3.93,83.33
APOSTOLIC CHRISTIAN HOME OF EUREKA,IL,1970-08,4.42,84.00
APOSTOLIC CHRISTIAN RESTMOR,IL,1970-08,3.89,87.10
APOSTOLIC CHRISTIAN SKYLINES,IL,1970-08,4.43,96.77
ARC AT BRADLEY,IL,1970-08,3.01,63.33
ARC AT CHILLICOTHE,IL,1970-08,3.42,66.04
ARC AT DWIGHT,IL,1970-08,2.52,89.13
ARC AT EL PASO,IL,1970-08,2.7,89.23
ARC AT NORMAL,IL,1970-08,3.23,81.56
ARC AT STREATOR,IL,1970-08,2.62,73.85
ARCADIA CARE AUBURN,IL,1970-08,2.67,87.14
ARCADIA CARE BLOOMINGTON,IL,1970-08,2.17,80.00
ARCADIA CARE JACKSONVILLE,IL,1970-08,2.94,66.37
ARCADIA CARE MORRIS,IL,1970-08,3.21,59.35
ARCHER HEIGHTS HEALTHCARE,IL,1970-08,2.38,91.97
ARCOLA HEALTH CARE CENTER,IL,1970-08,2.75,62.00
ARISTA HEALTHCARE,IL,1970-08,2.88,58.17
"ARTHUR HOME, THE",IL,1970-08,4.6,64.15
ASBURY COURT NURSING & REHAB,IL,1970-08,4.08,83.54
ASBURY GARDENS NSG & REHAB,IL,1970-08,4.66,77.33
ASCENSION HERITAGE VILLAGE,IL,1970-08,3.37,41.18
ASCENSION NAZARETHVILLE PLACE,IL,1970-08,3.41,98.53
ASCENSION RESURRECTION LIFE,IL,1970-08,3.65,80.89
ASCENSION RESURRECTION PLACE,IL,1970-08,3.32,33.11
ASCENSION SAINT ANNE PLACE,IL,1970-08,3.6,64.80
ASCENSION SAINT JOSEPH VILLAGE,IL,1970-08,2.8,80.65
ASCENSION VILLA FRANCISCAN,IL,1970-08,3.38,80.52
ASPEN REHAB &  HEALTH CARE,IL,1970-08,2.41,47.62
ASTORIA PLACE LIVING & REHAB,IL,1970-08,3.55,89.02
ATRIUM HEALTH CARE CENTER,IL,1970-08,2.02,93.75
"AUSTIN OASIS, THE",IL,1970-08,2.56,75.00
AUTUMN MEADOWS OF CAHOKIA,IL,1970-08,3.33,58.00
AVANTARA AURORA,IL,1970-08,3.67,83.91
AVANTARA CHICAGO RIDGE,IL,1970-08,3.38,74.88
AVANTARA EVERGREEN PARK,IL,1970-08,3.9,68.60
AVANTARA LAKE ZURICH,IL,1970-08,2.97,69.46
AVANTARA LIBERTYVILLE,IL,1970-08,4.57,67.33
AVANTARA LINCOLN PARK,IL,1970-08,3.73,80.24
AVANTARA LONG GROVE,IL,1970-08,3.57,83.08
AVANTARA OF ELGIN,IL,1970-08,4.02,91.07
AVANTARA PALOS HEIGHTS,IL,1970-08,3.42,84.24
AVANTARA PARK RIDGE,IL,1970-08,3.95,84.42
AVENUES AT LITCHFIELD,IL,1970-08,1.64,96.92
AVENUES AT SPRINGFIELD,IL,1970-08,1.66,96.92
AVISTON COUNTRYSIDE MANOR,IL,1970-08,2.69,63.92
AVONDALE ESTATES OF ELGIN,IL,1970-08,5.15,55.83
BALMORAL HOME,IL,1970-08,1.88,75.59
BARRY HEALTHCARE & SR LIVING,IL,1970-08,3.03,72.37
BATAVIA REHABILITATION & HEALTH CARE CENTER,IL,1970-08,3.73,44.44
BEACON CARE AND REHABILITATION,IL,1970-08,3.54,56.64
BEACON HILL,IL,1970-08,2.89,82.22
BEARDSTOWN HEALTH & REHAB CTR,IL,1970-08,3.39,83.54
BEECHER MANOR NRSG & REHAB CTR,IL,1970-08,3.25,95.31
BELHAVEN NURSING & REHAB CENTER,IL,1970-08,3.63,75.57
BELLA TERRA BLOOMINGDALE,IL,1970-08,3.27,56.02
BELLA TERRA ELMHURST,IL,1970-08,3.76,72.54
BELLA TERRA LAGRANGE,IL,1970-08,3.38,83.33
BELLA TERRA LOMBARD,IL,1970-08,3.74,61.61
BELLA TERRA MORTON GROVE,IL,1970-08,3.37,66.82
BELLA TERRA SCHAUMBURG,IL,1970-08,4.02,71.50
BELLA TERRA STREAMWOOD,IL,1970-08,3.63,52.34
BELLA TERRA WHEELING,IL,1970-08,2.78,81.86
BELLEVILLE HEALTHCARE CENTER,IL,1970-08,3.19,67.22
BEMENT HEALTH CARE CENTER,IL,1970-08,3.28,51.67
BENTON REHAB & HCC,IL,1970-08,3.84,49.25
BERKELEY NURSING & REHAB CENTER,IL,1970-08,3.3,61.11
BETHANY REHAB & HCC,IL,1970-08,4.13,76.67
BIG MEADOWS,IL,1970-08,3.36,74.70
BIRCHWOOD PLAZA,IL,1970-08,2.74,73.00
BLESSING HOSPITAL SNU,IL,1970-08,8.52,60.00
BLOOMINGTON REHABILITATION & HCC,IL,1970-08,3.65,52.56
BRANDEL HEALTH AND REHAB,IL,1970-08,4.12,72.55
BREESE NURSING HOME,IL,1970-08,1.49,58.93
BRIA OF ALTON,IL,1970-08,2.3,37.02
BRIA OF BELLEVILLE,IL,1970-08,2.48,94.29
BRIA OF CAHOKIA,IL,1970-08,3.59,78.20
BRIA OF CHICAGO HEIGHTS,IL,1970-08,2.82,85.71
BRIA OF COLUMBIA,IL,1970-08,3.34,90.76
BRIA OF ELMWOOD PARK,IL,1970-08,3.08,59.59
BRIA OF FOREST EDGE,IL,1970-08,1.82,57.93
BRIA OF GENEVA,IL,1970-08,4.04,85.98
BRIA OF GODFREY,IL,1970-08,3.02,66.18
BRIA OF MASCOUTAH,IL,1970-08,3.57,96.36
BRIA OF PALOS HILLS,IL,1970-08,3.91,70.05
BRIA OF RIVER OAKS,IL,1970-08,3.01,80.91
BRIA OF WESTMONT,IL,1970-08,3.1,76.28
BRIA OF WOODRIVER,IL,1970-08,2.96,75.47
BRIAR PLACE NURSING,IL,1970-08,2.27,83.19
BRIDGE CARE SUITES,IL,1970-08,4.62,89.33
BRIDGEWAY SENIOR LIVING,IL,1970-08,2.89,69.47
"BRITISH HOME, THE",IL,1970-08,4.74,56.94
BROOKDALE PLAZA LISLE SNF,IL,1970-08,4.13,78.18
BUCKINGHAM PAVILION,IL,1970-08,3.07,41.28
BURBANK REHABILITATION CENTER,IL,1970-08,4.09,61.96
BURGESS SQUARE HEALTHCARE CTR,IL,1970-08,4.59,58.13
CALHOUN NURSING & REHAB CENTER,IL,1970-08,2.88,73.75
CALIFORNIA TERRACE,IL,1970-08,2.34,83.17
CARLINVILLE REHAB & HCC,IL,1970-08,3.2,76.53
"CARLTON AT THE LAKE, THE",IL,1970-08,3.55,70.49
CARLYLE HEALTHCARE & SR LIVING,IL,1970-08,2.61,76.15
CARMI MANOR REHAB & NRSG CTR,IL,1970-08,3.04,58.11
CARRIER MILLS NSG & REHAB CTR,IL,1970-08,2.2,82.83
CASEY HEALTHCARE CENTER,IL,1970-08,2.7,69.57
CASEYVILLE NURSING & REHAB CTR,IL,1970-08,2.85,58.67
CEDAR RIDGE HEALTH & REHAB CTR,IL,1970-08,3.75,85.34
CELEBRATE SENIOR LIVING NILES,IL,1970-08,3.81,94.55
CELEBRATE SR LIVING OF MOLINE,IL,1970-08,3.22,74.17
CENTER HOME HISPANIC ELDERLY,IL,1970-08,2.61,72.44
CENTRAL BAPTIST VILLAGE,IL,1970-08,4.13,87.07
CENTRAL NURSING HOME,IL,1970-08,2.54,69.80
CENTRALIA MANOR,IL,1970-08,4.09,64.17
CHALET LIVING & REHAB,IL,1970-08,2.45,88.13
CHARLESTON REHAB & HEALTH CC,IL,1970-08,3.28,44.60
CHATEAU NRSG & REHAB CENTER,IL,1970-08,2.97,80.67
CHICAGO RIDGE SNF,IL,1970-08,2.02,86.15
CISNE REHABILITATION & HEALTH CENTER,IL,1970-08,4.58,57.14
CITADEL AT CASA SCALABRINI,IL,1970-08,3.57,69.43
CITADEL AT SAINT BENEDICT,IL,1970-08,3.04,74.75
CITADEL CARE CENTER-KANKAKEE,IL,1970-08,3.51,85.05
CITADEL CARE CENTER-WILMETTE,IL,1970-08,3.93,75.00
"CITADEL OF BOURBONNAIS,THE",IL,1970-08,3.65,82.24
"CITADEL OF GLENVIEW,THE",IL,1970-08,2.79,89.63
"CITADEL OF NORTHBROOK, THE",IL,1970-08,2.88,83.54
"CITADEL OF SKOKIE, THE",IL,1970-08,2.05,92.92
"CITADEL OF STERLING,THE",IL,1970-08,2.79,73.55
CITY VIEW MULTICARE CENTER,IL,1970-08,1.85,49.90
CLARIDGE HEALTHCARE CENTER,IL,1970-08,1.85,35.93
CLARK MANOR,IL,1970-08,2.01,90.64
"CLAYBERG, THE",IL,1970-08,2.58,93.88
CLINTON MANOR LIVING CENTER,IL,1970-08,9.16,59.46
COLLINSVILLE REHAB & HEALTH CC,IL,1970-08,1.77,59.57
COMMUNITY CARE NURSING CENTER,IL,1970-08,4.14,25.98
COMMUNITY FIRST MEDICAL CENTER,IL,1970-08,5.08,27.27
CONCORDIA VILLAGE CARE CENTER,IL,1970-08,5.1,79.03
CONTINENTAL NURSING & REHAB CENTER,IL,1970-08,2.54,66.83
CORNERSTONE REHAB & HC,IL,1970-08,3.95,45.74
COULTERVILLE REHAB & HCC,IL,1970-08,3.16,90.67
COUNTRY HEALTH,IL,1970-08,2.8,95.51
COUNTRYSIDE NURSING & REHAB CTR,IL,1970-08,2.32,77.67
COUNTRYVIEW CARE CENTER-MACOMB,IL,1970-08,2.72,67.74
COVENANT LIVING - WINDSOR PARK,IL,1970-08,5.05,66.25
CRESCENT CARE OF ELGIN,IL,1970-08,3.39,73.86
CRESTWOOD REHABILITATION CTR,IL,1970-08,3.24,55.89
CRESTWOOD TERRACE,IL,1970-08,1.63,86.51
CRYSTAL PINES REHAB & HCC,IL,1970-08,2.76,77.27
CUMBERLAND REHAB & HEALTH CC,IL,1970-08,3.01,66.67
DECATUR REHAB & HEALTH CARE CT,IL,1970-08,3.02,67.24
DEKALB COUNTY REHAB & NURSING,IL,1970-08,3.28,57.37
DIXON REHAB & HCC,IL,1970-08,2.53,86.60
DOBSON PLAZA,IL,1970-08,3.09,82.47
DOCTORS NURSING & REHAB CENTER,IL,1970-08,3.58,50.83
DOWNERS GROVE REHAB & NURSING,IL,1970-08,2.89,60.00
DUPAGE CARE CENTER,IL,1970-08,4.27,58.20
DUQUOIN NURSING & REHAB,IL,1970-08,3.25,73.61
"EAST BANK CENTER, LLC",IL,1970-08,4.09,64.81
EASTSIDE HEALTH & REHAB CENTER,IL,1970-08,3.77,47.47
EASTVIEW TERRACE,IL,1970-08,3.26,60.32
EDEN VILLAGE CARE CENTER,IL,1970-08,3.3,52.34
EDEN VISTA BURR RIDGE,IL,1970-08,6.67,75.86
EDEN VISTA PROPECT HEIGHTS,IL,1970-08,6.53,53.33
EFFINGHAM REHAB & HEALTH C CTR,IL,1970-08,3.67,70.97
EL PASO HEALTH CARE CENTER,IL,1970-08,1.34,82.11
ELDORADO REHAB & HEALTHCARE,IL,1970-08,3.49,56.57
ELEVATE CARE ABINGTON,IL,1970-08,3.49,68.23
ELEVATE CARE CHICAGO NORTH,IL,1970-08,2.96,51.60
ELEVATE CARE COUNTRY CLUB HILL,IL,1970-08,3.19,78.00
ELEVATE CARE NILES,IL,1970-08,3.92,51.66
ELEVATE CARE NORTH BRANCH,IL,1970-08,3.44,66.98
ELEVATE CARE NORTHBROOK,IL,1970-08,2.66,68.12
ELEVATE CARE PALOS HEIGHTS,IL,1970-08,3.8,87.39
ELEVATE CARE RIVERWOODS,IL,1970-08,3.73,62.50
ELEVATE CARE SOUTH HOLLAND,IL,1970-08,3.66,78.95
ELEVATE CARE WAUKEGAN,IL,1970-08,3.39,69.43
ELEVATE CARE WINDSOR PARK,IL,1970-08,2.75,80.00
ELMHURST EXTENDED CARE CENTER,IL,1970-08,6.63,23.15
"ELMS, THE",IL,1970-08,4.03,66.33
ENCORE VILLAGE,IL,1970-08,4.03,86.98
EVENGLOW LODGE,IL,1970-08,4.64,66.67
EVERCARE AT EDWARDSVILLE,IL,1970-08,2.7,69.17
EVERCARE AT UNIVERSITY,IL,1970-08,2.45,75.41
EVERGREEN NURSING & REHAB CENTER,IL,1970-08,2.44,34.17
FAIR HAVENS SENIOR LIVING,IL,1970-08,3.35,62.99
FAIR OAKS HEALTH CARE CENTER,IL,1970-08,4.46,68.63
FAIR OAKS REHAB & HEALTHCARE,IL,1970-08,2.96,74.36
FAIRFIELD MEMORIAL HOSPITAL,IL,1970-08,4.24,63.33
FAIRHAVEN CHRISTIAN RET CENTER,IL,1970-08,4.3,77.08
FAIRVIEW HAVEN,IL,1970-08,3.37,94.23
FAIRVIEW REHAB & HEALTHCARE,IL,1970-08,2.57,63.16
FARGO HEALTH CARE CENTER,IL,1970-08,2.67,98.99
FARMER CITY REHAB & HEALTHCARE,IL,1970-08,3.01,82.14
FARMINGTON VILLAGE NRSG,IL,1970-08,2.83,83.70
FAYETTE COUNTY HOSPITAL,IL,1970-08,4.65,40.00
FIRESIDE HOUSE OF CENTRALIA,IL,1970-08,3.35,67.35
FLANAGAN REHABILITATION & HCC,IL,1970-08,3.89,65.12
FLORA GARDENS CARE CENTER,IL,1970-08,2.85,50.52
FLORA REHAB & HEALTH CARE CTR,IL,1970-08,3.69,31.31
FLORENCE NURSING HOME,IL,1970-08,3.58,48.21
FONDULAC REHABILITATION & HCC,IL,1970-08,3.25,70.41
FOREST CITY REHAB & NRSG CTR,IL,1970-08,1.91,74.65
FOREST VIEW REHAB & NURSING CENTER,IL,1970-08,3.12,84.72
FOSTER HEALTH & REHAB CENTER,IL,1970-08,2.67,84.78
FRANCISCAN VILLAGE,IL,1970-08,3.8,77.95
FRANKFORT TERRACE,IL,1970-08,1.62,86.67
FRANKLIN GROVE LIVING AND REHAB,IL,1970-08,4.08,56.06
FREEBURG CARE CENTER,IL,1970-08,3.51,80.51
FRIENDSHIP MANOR,IL,1970-08,4.31,87.23
FRIENDSHIP MANOR HEALTH CARE,IL,1970-08,2.51,53.33
GALLATIN MANOR,IL,1970-08,4.26,52.11
GENERATIONS AT APPLEWOOD,IL,1970-08,3.28,70.13
GENERATIONS AT NEIGHBORS,IL,1970-08,2.85,80.92
GENERATIONS AT REGENCY,IL,1970-08,3.29,67.67
GENERATIONS AT ROCK ISLAND,IL,1970-08,4.55,40.11
GENERATIONS OAKTON PAVILLION,IL,1970-08,3.79,42.55
GIBSON COMMUNITY HSP ANNEX,IL,1970-08,4.75,68.75
GILLESPIE HEALTH & REHAB CTR,IL,1970-08,1.96,72.00
GILMAN HEALTHCARE CENTER,IL,1970-08,2.56,62.63
GLENVIEW TERRACE,IL,1970-08,3.9,75.16
GOLDEN GOOD SHEPHERD HOME,IL,1970-08,2.76,76.09
GOLDWATER CARE BLOOMINGTON,IL,1970-08,3.88,77.27
GOLDWATER CARE DANVILLE,IL,1970-08,3.34,83.33
GOLDWATER CARE GIBSON CITY,IL,1970-08,2.9,98.33
GOLDWATER CARE SPRING VALLEY,IL,1970-08,3.26,76.53
GOLDWATER CARE TOLUCA,IL,1970-08,3.42,58.65
GOLDWATER PONTIAC NURSING HOME,IL,1970-08,2.57,94.44
GOOD SAMARITAN HOME,IL,1970-08,4.41,51.23
GOTTLIEB MEMORIAL HOSPITAL,IL,1970-08,5.6,81.25
GRAHAM HOSPITAL,IL,1970-08,4.34,48.94
GRANITE NURSING & REHABILITATION,IL,1970-08,2.45,90.70
GREEK AMERICAN REHAB CARE CTR,IL,1970-08,3.82,84.57
GREENFIELDS OF GENEVA,IL,1970-08,4.78,95.35
GREENVILLE NURSING & REHAB,IL,1970-08,3.23,72.22
"GROVE AT THE LAKE,THE",IL,1970-08,3.3,61.07
"GROVE HEALTH & REHAB CTR, THE",IL,1970-08,3.41,70.29
"GROVE OF ELMHURST, THE",IL,1970-08,2.88,74.44
"GROVE OF EVANSTON L & R, THE",IL,1970-08,3.66,76.61
"GROVE OF FOX VALLEY,THE",IL,1970-08,3.28,81.01
"GROVE OF LAGRANGE PARK, THE",IL,1970-08,3.23,88.55
"GROVE OF NORTHBROOK,THE",IL,1970-08,1.89,87.31
"GROVE OF SKOKIE, THE",IL,1970-08,1.9,87.25
GROVE OF ST CHARLES,IL,1970-08,2.7,77.50
"H & J VONDERLIETH LVG CTR, THE",IL,1970-08,3.47,60.00
HALLMARK HC OF CARLINVILLE,IL,1970-08,3.1,85.71
HALLMARK HEALTHCARE OF PEKIN,IL,1970-08,3.01,85.92
HAMMOND-HENRY DISTRICT HSP,IL,1970-08,4.31,92.11
HARMONY HEALTHCARE & REHAB CTR,IL,1970-08,3.15,92.22
HARMONY PALOS,IL,1970-08,3.13,73.85
HAVANA HEALTH CARE CENTER,IL,1970-08,2.28,37.76
HAWTHORNE INN OF DANVILLE,IL,1970-08,3.52,98.75
HEALTHBRIDGE OF ARLINGTON HTS,IL,1970-08,4.75,44.17
HEARTHSTONE MANOR,IL,1970-08,4.84,49.32
HEARTLAND NURSING & REHAB,IL,1970-08,3.53,59.26
HEARTLAND SENIOR LIVING,IL,1970-08,3.67,88.73
HEATHER HEALTH CARE CENTER,IL,1970-08,2.33,84.39
HELIA HEALTHCARE OF BENTON,IL,1970-08,3.11,61.45
HELIA HEALTHCARE OF ENERGY,IL,1970-08,2.57,72.45
HELIA HEALTHCARE OF NEWTON,IL,1970-08,2.7,66.67
HELIA HEALTHCARE OF OLNEY,IL,1970-08,2.1,50.85
HELIA SOUTHBELT HEALTHCARE,IL,1970-08,3.73,68.59
